Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.22,-0.26,-0.42,-0.02,0.01,-0.01,1688728145.5561204
-0.17,-0.14,-0.35,-0.02,0.01,-0.01,1688728145.6321485
-0.17,-0.06,-0.44,-0.02,0.01,-0.01,1688728145.6960888
-0.22,-0.1,-0.49,-0.02,0.02,-0.01,1688728145.760216
-0.26,-0.14,-0.71,-0.02,0.02,-0.01,1688728145.8242428
-0.08,-0.17,-0.84,-0.02,0.03,-0.01,1688728145.8921225
0.15,-0.08,-0.95,-0.01,0.03,-0.01,1688728145.9724743
0.21,-0.18,-0.8,-0.01,0.03,-0.01,1688728146.0522244
0.22,-0.16,-0.89,-0.01,0.02,-0.01,1688728146.1322324
0.23,-0.04,-0.73,-0.02,0.02,-0.01,1688728146.2121081
-0.19,0.26,-0.79,-0.02,0.02,-0.01,1688728146.2922406
-0.46,-0.02,-0.87,-0.02,0.01,-0.01,1688728146.3682432
-0.63,-0.09,-0.9,-0.02,0.01,-0.01,1688728146.4361858
-0.5,-0.28,-1.05,-0.02,0.0,-0.01,1688728146.5202243
0.49,-0.74,-1.21,-0.02,0.02,-0.02,1688728146.6121733
0.72,-0.38,-1.42,-0.01,0.03,-0.02,1688728146.6922305
0.6,-0.15,-1.27,-0.01,0.03,-0.01,1688728146.7721856
0.48,-0.18,-1.21,-0.02,0.04,-0.01,1688728146.8521957
0.34,-0.08,-1.12,-0.02,0.03,-0.01,1688728146.9322128
0.46,0.21,-1.0,-0.02,0.03,-0.01,1688728147.0122247
-0.13,0.24,-0.97,-0.02,0.02,-0.01,1688728147.088201
-0.32,0.3,-0.95,-0.02,0.02,-0.01,1688728147.1557994
-0.37,0.32,-0.8,-0.03,0.01,-0.0,1688728147.2323225
-0.45,0.27,-0.85,-0.03,0.01,-0.0,1688728147.3041813
-0.53,0.17,-1.02,-0.03,0.01,-0.0,1688728147.3922367
-0.47,-0.7,-1.22,-0.03,0.02,-0.01,1688728147.4601884
-0.17,-0.88,-1.38,-0.02,0.02,-0.02,1688728147.540289
0.13,-1.04,-1.62,-0.02,0.02,-0.02,1688728147.6242604
0.84,-0.98,-1.77,-0.02,0.03,-0.02,1688728147.720187
0.98,-0.75,-1.96,-0.02,0.03,-0.02,1688728147.811917
0.81,-0.66,-1.94,-0.01,0.04,-0.02,1688728147.888136
1.11,-0.46,-2.01,-0.01,0.05,-0.02,1688728147.9721797
0.82,-0.46,-1.82,-0.01,0.05,-0.02,1688728148.0522919
0.5,-0.71,-1.72,-0.01,0.04,-0.02,1688728148.131862
-0.1,-0.82,-1.4,-0.0,0.03,-0.02,1688728148.2160358
-0.35,-0.55,-1.07,-0.01,0.02,-0.02,1688728148.312137
-0.4,-0.47,-1.01,-0.0,0.02,-0.02,1688728148.3921933
-0.34,-0.46,-0.91,-0.0,0.02,-0.02,1688728148.4839904
-0.14,-0.43,-0.87,0.0,0.02,-0.02,1688728148.5637856
-0.24,-0.51,-0.89,0.0,0.02,-0.02,1688728148.6442506
0.14,-0.58,-0.86,-0.0,0.02,-0.01,1688728148.7241116
0.32,-0.44,-0.97,0.0,0.02,-0.0,1688728148.8038564
0.49,-0.26,-0.99,-0.0,0.03,0.0,1688728148.888376
0.47,-0.12,-1.0,0.0,0.03,0.01,1688728148.9802132
0.33,0.15,-1.02,-0.0,0.03,0.0,1688728149.0603774
0.12,0.33,-1.04,-0.01,0.03,-0.0,1688728149.1401713
-0.1,0.37,-1.08,-0.01,0.02,-0.0,1688728149.2239144
-0.3,0.32,-0.94,-0.02,0.02,-0.01,1688728149.3203332
-0.32,0.33,-0.9,-0.02,0.01,-0.01,1688728149.4164276
-0.54,0.02,-0.84,-0.02,0.01,-0.01,1688728149.5122967
-0.53,-0.29,-0.81,-0.02,0.01,-0.01,1688728149.608312
-0.44,-0.55,-0.89,-0.02,0.01,-0.01,1688728149.7041705
-0.01,-0.74,-1.01,-0.01,0.02,-0.01,1688728149.800339
0.56,-0.45,-1.07,-0.01,0.02,-0.01,1688728149.8802123
0.6,-0.31,-1.17,-0.01,0.03,-0.01,1688728149.9724
0.53,-0.44,-1.15,-0.01,0.03,-0.01,1688728150.0522158
0.39,-0.53,-1.14,-0.01,0.03,-0.01,1688728150.1322794
0.37,-0.59,-1.14,-0.01,0.03,-0.01,1688728150.2162025
0.2,-0.61,-1.07,-0.01,0.03,-0.01,1688728150.3162215
0.15,-0.51,-0.92,-0.0,0.03,-0.01,1688728150.392119
-0.06,-0.55,-0.84,0.0,0.02,-0.02,1688728150.4720745
-0.39,-0.48,-0.78,-0.0,0.02,-0.02,1688728150.5681021
-0.43,-0.41,-0.78,-0.0,0.02,-0.02,1688728150.664374
-0.53,-0.24,-0.82,0.0,0.01,-0.02,1688728150.7602756
-0.62,-0.16,-0.8,-0.0,0.01,-0.02,1688728150.8563263
-0.41,0.05,-0.73,-0.01,0.01,-0.02,1688728150.952379
-0.37,0.1,-0.77,-0.01,0.01,-0.02,1688728151.0481248
-0.13,0.2,-0.76,-0.01,0.01,-0.01,1688728151.1443264
0.02,0.24,-0.74,-0.02,0.01,-0.01,1688728151.240358
0.23,0.08,-0.79,-0.02,0.02,-0.01,1688728151.3362699
0.38,-0.28,-0.88,-0.02,0.02,-0.01,1688728151.432264
0.43,-0.38,-0.95,-0.02,0.03,-0.01,1688728151.5284534
0.31,-0.45,-1.04,-0.01,0.03,-0.01,1688728151.6202717
0.17,-0.36,-0.78,-0.01,0.02,-0.01,1688728151.704428
-0.21,-0.31,-0.48,-0.01,0.01,-0.02,1688728151.8002148
-0.12,-0.16,-0.38,-0.01,0.01,-0.01,1688728151.88029
-0.29,-0.29,-0.59,-0.01,0.01,-0.01,1688728151.976199
-0.47,-0.14,-0.61,-0.01,0.01,-0.02,1688728152.0562031
-0.52,-0.03,-0.62,-0.01,0.01,-0.01,1688728152.1522083
-0.33,0.14,-0.71,-0.02,0.01,-0.01,1688728152.232215
0.05,0.13,-0.73,-0.02,0.02,-0.01,1688728152.328264
0.47,-0.01,-0.92,-0.01,0.02,-0.01,1688728152.4082344
0.42,-0.3,-1.07,-0.01,0.03,-0.01,1688728152.4881063
0.4,-0.48,-1.08,-0.01,0.03,-0.01,1688728152.5843534
0.02,-0.68,-0.91,-0.01,0.03,-0.02,1688728152.6803932
-0.3,-0.56,-0.82,-0.0,0.02,-0.02,1688728152.77638
-0.51,-0.45,-0.81,-0.0,0.01,-0.02,1688728152.872344
-0.7,-0.36,-0.88,-0.0,0.01,-0.03,1688728152.9683275
-0.64,-0.02,-0.87,-0.0,0.01,-0.03,1688728153.064358
-0.33,0.14,-0.8,-0.01,0.01,-0.02,1688728153.160337
-0.23,0.14,-0.76,-0.01,0.01,-0.01,1688728153.2564268
-0.17,0.25,-0.71,-0.02,0.01,-0.01,1688728153.3362525
0.04,0.31,-0.72,-0.02,0.01,-0.01,1688728153.4122393
