Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.02,0.16,-0.08,0.01,0.0,0.0,1688391267.4283824
-0.01,0.01,0.02,0.0,0.0,0.0,1688391267.5202465
0.04,0.19,-0.01,0.0,0.0,0.0,1688391267.6003401
-0.04,0.12,0.0,0.0,0.0,0.0,1688391267.6802442
-0.22,0.19,-0.65,0.01,0.0,0.01,1688391267.760168
0.9,-1.55,-4.1,0.03,0.1,-0.02,1688391267.8400657
0.43,-1.26,-4.22,0.04,0.1,-0.02,1688391267.9200544
2.2,-1.11,-3.32,0.03,0.11,-0.01,1688391268.0003185
1.64,-0.96,-2.52,0.03,0.09,-0.01,1688391268.080359
-0.83,-0.65,-2.0,0.01,0.04,-0.01,1688391268.164374
-1.2,-0.28,-1.42,0.02,0.01,-0.01,1688391268.2563517
1.46,-0.73,-2.63,0.04,0.07,0.0,1688391268.3323667
2.26,-0.99,-3.04,0.04,0.1,0.0,1688391268.4000716
1.98,-0.88,-2.37,0.04,0.08,0.0,1688391268.4803054
-0.24,-1.21,-2.41,0.04,0.06,-0.02,1688391268.5643692
-1.65,-0.65,-2.11,0.05,0.02,-0.03,1688391268.6603148
-1.74,-0.99,-2.28,0.05,0.03,-0.03,1688391268.7562318
2.14,-1.11,-2.71,0.05,0.08,0.01,1688391268.8482873
2.05,-0.26,-2.11,0.04,0.07,0.02,1688391268.9283838
1.25,-0.5,-1.51,0.03,0.05,0.01,1688391269.0076585
-0.69,-0.64,-0.87,0.03,0.02,-0.02,1688391269.0881596
-1.05,-0.69,-1.38,0.05,0.04,-0.03,1688391269.1684456
-1.38,0.33,-1.34,0.03,0.02,-0.02,1688391269.2526994
-0.46,1.11,-1.15,0.01,0.02,0.01,1688391269.3485916
0.15,0.87,-0.98,-0.0,0.03,0.01,1688391269.4442987
0.06,0.63,-0.61,-0.0,0.02,0.01,1688391269.5361516
-0.37,0.46,-0.52,-0.01,0.01,0.01,1688391269.6200705
0.03,-0.53,-1.82,-0.01,0.03,-0.0,1688391269.711943
1.5,-1.31,-2.43,-0.01,0.07,-0.03,1688391269.7962925
1.57,-1.13,-2.37,0.0,0.08,-0.03,1688391269.8923674
-1.39,-0.5,-1.71,0.0,0.02,0.0,1688391269.9682922
-1.23,-0.11,-1.37,0.0,0.02,0.01,1688391270.0476856
-0.32,-1.24,-1.93,0.01,0.04,-0.01,1688391270.1322994
0.89,-1.35,-2.24,0.03,0.06,-0.01,1688391270.2236784
0.96,-1.08,-1.89,0.03,0.06,-0.01,1688391270.3084962
-0.88,-0.92,-1.19,0.03,0.02,-0.02,1688391270.4043498
-1.17,-0.6,-1.61,0.03,0.04,-0.02,1688391270.5002742
0.76,-1.09,-2.28,0.05,0.07,-0.0,1688391270.596118
1.65,-0.52,-2.12,0.05,0.07,0.02,1688391270.692319
0.91,-0.4,-1.69,0.05,0.05,0.01,1688391270.7883146
-0.5,-0.6,-1.09,0.04,0.02,-0.02,1688391270.8844426
-1.22,-0.67,-1.56,0.06,0.04,-0.04,1688391270.9763198
1.31,-0.88,-2.21,0.06,0.07,0.02,1688391271.056254
1.38,-0.29,-1.98,0.06,0.06,0.03,1688391271.140293
0.45,-0.02,-1.78,0.07,0.05,0.01,1688391271.2202775
-0.76,-0.45,-1.15,0.05,0.02,-0.03,1688391271.3002498
-1.3,-0.16,-1.47,0.05,0.02,-0.03,1688391271.3841271
-1.05,0.08,-1.25,0.04,0.02,-0.03,1688391271.4721844
-1.06,-0.02,-1.23,0.04,0.02,-0.02,1688391271.5559814
-1.78,-1.19,-1.62,0.08,0.02,-0.03,1688391271.6358933
1.19,-1.31,-3.12,0.11,0.09,0.03,1688391271.715917
1.97,-0.7,-3.0,0.11,0.07,0.06,1688391271.795879
2.16,-0.27,-3.04,0.1,0.06,0.07,1688391271.8758798
1.73,0.34,-2.38,0.08,0.05,0.05,1688391271.956111
-0.78,1.0,-1.9,0.07,0.01,-0.02,1688391272.052175
-1.72,0.96,-1.32,0.02,0.01,0.02,1688391272.131982
0.53,0.72,-2.28,0.03,0.05,0.01,1688391272.212015
1.81,-0.57,-2.74,0.05,0.03,0.03,1688391272.288067
1.9,-0.56,-2.97,0.06,0.04,0.04,1688391272.3719761
1.84,-0.43,-2.71,0.06,0.05,0.03,1688391272.4681094
-0.8,0.46,-1.47,0.04,0.0,-0.01,1688391272.5479836
-0.44,0.83,-1.44,0.01,0.04,0.02,1688391272.643998
1.19,-1.0,-2.34,0.02,0.03,0.01,1688391272.7239783
1.18,-0.9,-2.34,0.04,0.04,0.01,1688391272.8038774
-0.12,-0.08,-1.47,0.03,0.02,0.01,1688391272.8839087
-0.24,0.3,-0.77,0.01,0.02,0.01,1688391272.963924
0.45,-0.2,-1.84,0.01,0.03,0.01,1688391273.0438833
1.31,-1.04,-2.82,0.03,0.04,0.01,1688391273.123603
1.69,-0.98,-2.99,0.04,0.06,0.01,1688391273.2040474
0.93,-0.88,-2.93,0.06,0.06,0.0,1688391273.2839968
-1.18,-1.18,-1.76,0.04,0.01,-0.02,1688391273.363965
-0.52,-0.51,-1.21,0.04,0.01,-0.01,1688391273.4440773
0.87,-1.16,-2.44,0.05,0.05,0.01,1688391273.5239565
1.28,-0.6,-2.5,0.06,0.05,0.02,1688391273.604052
0.88,-0.54,-2.33,0.07,0.05,0.01,1688391273.6839802
-0.62,-0.76,-1.09,0.04,0.01,-0.01,1688391273.7639856
-0.35,-1.43,-2.04,0.07,0.04,-0.03,1688391273.8439815
0.85,-1.0,-1.71,0.06,0.05,0.01,1688391273.9239533
0.78,-0.75,-1.48,0.06,0.05,0.02,1688391274.020056
-0.43,-0.81,-1.23,0.06,0.02,-0.02,1688391274.0999877
-0.6,-0.66,-1.34,0.06,0.02,-0.03,1688391274.1799724
-0.67,-0.83,-1.77,0.08,0.04,-0.03,1688391274.2561266
0.71,-0.6,-2.32,0.09,0.05,0.01,1688391274.3196368
1.24,0.34,-2.05,0.07,0.05,0.05,1688391274.4040804
0.05,0.93,-1.51,0.05,0.03,0.01,1688391274.5001588
-0.24,0.61,-1.08,0.02,0.01,0.01,1688391274.5799847
0.13,1.19,-1.48,0.0,0.03,0.02,1688391274.6760736
1.23,-0.56,-2.28,0.02,0.04,0.01,1688391274.7560537
0.84,-0.1,-2.05,0.0,0.04,0.01,1688391274.8360248
-0.49,0.77,-1.37,0.01,0.02,0.01,1688391274.9163835
-0.47,0.93,-1.74,0.0,0.04,0.02,1688391274.996306
1.19,-0.97,-2.39,0.01,0.04,-0.0,1688391275.0764391
1.17,-0.64,-2.07,0.01,0.04,0.0,1688391275.1561587
-0.44,0.27,-0.98,0.0,0.0,0.01,1688391275.2363267
-0.2,0.65,-1.09,-0.01,0.03,0.02,1688391275.315639
-0.04,-0.63,-1.58,0.0,0.02,0.01,1688391275.396335
0.98,-0.87,-1.97,0.01,0.03,-0.0,1688391275.476417
0.91,-0.91,-2.05,0.01,0.04,-0.0,1688391275.5724144
-0.45,-1.34,-1.43,0.02,0.02,-0.01,1688391275.652304
-0.47,-0.74,-1.2,0.02,0.02,-0.01,1688391275.7483556
0.74,-0.91,-1.92,0.02,0.03,0.0,1688391275.8443499
1.38,-0.43,-2.17,0.03,0.05,0.01,1688391275.9243186
1.61,-0.16,-2.03,0.03,0.06,0.02,1688391276.0045462
1.34,0.16,-2.05,0.02,0.05,0.02,1688391276.1003435
-0.09,0.37,-0.64,0.01,0.01,0.01,1688391276.1803412
-0.07,0.71,-1.05,-0.01,0.03,0.02,1688391276.256368
0.04,-0.09,-1.31,-0.02,0.02,0.01,1688391276.3402565
1.27,-0.99,-2.34,-0.01,0.05,-0.01,1688391276.420376
1.51,-0.97,-2.38,-0.0,0.07,-0.02,1688391276.496083
-0.8,-0.28,-2.11,-0.02,0.03,0.01,1688391276.564193
-0.95,0.15,-1.35,-0.01,0.0,0.01,1688391276.6443791
-1.95,-0.02,-1.35,-0.01,-0.01,0.01,1688391276.7241797
0.59,-0.98,-2.97,0.0,0.03,-0.0,1688391276.8042705
1.99,-0.79,-3.08,-0.01,0.04,-0.01,1688391276.8843925
2.08,-0.67,-3.04,-0.0,0.06,-0.01,1688391276.9636672
-0.56,-0.7,-2.1,-0.01,0.01,0.0,1688391277.043645
-1.13,-0.5,-1.06,0.0,-0.01,0.01,1688391277.124361
-0.88,-0.6,-1.79,0.01,0.01,0.0,1688391277.204347
1.55,-0.78,-2.58,0.02,0.01,0.01,1688391277.284218
2.03,-0.48,-2.87,0.01,0.03,0.0,1688391277.3643236
1.81,-0.47,-2.58,0.01,0.04,0.0,1688391277.4440637
