Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.02,0.08,-0.13,-0.01,0.01,0.0,1688390309.955971
-0.48,0.24,-1.44,-0.01,0.02,0.01,1688390310.0359828
0.47,-0.02,-1.59,-0.01,0.04,0.0,1688390310.1163304
0.67,-0.07,-1.08,-0.01,0.03,0.0,1688390310.196244
-0.42,-0.01,-0.98,-0.01,0.02,0.01,1688390310.2759483
-0.55,0.21,-1.07,-0.01,0.01,0.01,1688390310.3556795
-0.98,0.45,-1.4,-0.01,0.02,0.01,1688390310.4357626
0.58,-0.01,-1.62,-0.01,0.03,0.01,1688390310.5160434
0.86,-0.2,-1.68,-0.01,0.04,0.0,1688390310.6000025
0.83,0.07,-1.39,-0.01,0.04,0.0,1688390310.6920075
0.82,-0.07,-1.32,-0.0,0.04,0.01,1688390310.7720194
-0.18,0.01,-1.47,-0.0,0.03,0.0,1688390310.8520927
-0.94,0.11,-1.48,-0.01,0.02,0.01,1688390310.9321032
-0.86,0.25,-1.42,-0.01,0.01,0.01,1688390311.012038
-0.19,0.12,-1.12,-0.0,0.02,0.0,1688390311.0921035
0.64,0.0,-1.24,-0.01,0.04,0.01,1688390311.1720102
0.71,-0.09,-1.41,-0.0,0.05,0.0,1688390311.2516596
-0.01,0.24,-1.61,0.01,0.05,0.0,1688390311.3316708
-0.87,0.13,-1.36,-0.0,0.02,0.0,1688390311.4121149
-1.01,0.41,-1.56,-0.01,0.02,0.01,1688390311.4960742
0.07,-0.1,-1.6,-0.01,0.03,0.0,1688390311.571779
0.78,-0.11,-1.49,-0.01,0.04,0.0,1688390311.6558104
0.84,-0.09,-1.46,-0.0,0.05,0.01,1688390311.731623
0.72,0.16,-1.65,0.0,0.05,0.01,1688390311.8160934
-0.96,0.21,-1.3,-0.0,0.02,0.0,1688390311.8921876
-0.83,0.2,-1.34,-0.0,0.01,0.0,1688390311.9759858
-0.7,-0.07,-1.12,-0.0,0.01,0.01,1688390312.0519927
0.62,0.07,-1.19,0.0,0.03,0.01,1688390312.131913
0.72,-0.24,-1.3,-0.01,0.04,0.0,1688390312.2122698
0.79,-0.06,-1.34,0.0,0.05,0.01,1688390312.292258
-0.34,0.11,-1.32,-0.0,0.03,0.0,1688390312.3761172
-0.83,0.16,-1.27,-0.01,0.02,0.0,1688390312.4516118
-0.87,0.06,-1.17,-0.0,0.01,0.0,1688390312.5362225
-0.08,-0.19,-1.11,0.0,0.02,0.0,1688390312.6322548
0.78,-0.07,-1.33,0.0,0.04,0.01,1688390312.7079954
0.85,-0.12,-1.39,-0.0,0.05,0.01,1688390312.7922065
-0.33,0.11,-1.42,-0.0,0.03,0.0,1688390312.8722684
-0.75,0.17,-1.24,0.0,0.02,0.0,1688390312.9478898
-0.84,0.14,-1.16,0.0,0.01,-0.0,1688390313.032154
0.08,-0.14,-1.21,0.01,0.02,0.0,1688390313.1120982
0.79,-0.13,-1.3,0.0,0.04,0.01,1688390313.1920347
0.77,-0.02,-1.22,0.0,0.05,0.01,1688390313.272068
-0.45,0.27,-1.1,-0.0,0.02,0.0,1688390313.351729
-0.56,0.22,-0.96,-0.0,0.01,0.0,1688390313.4319482
-0.68,0.22,-0.99,-0.0,0.02,0.0,1688390313.5083025
0.62,0.21,-1.21,0.01,0.04,0.01,1688390313.588174
0.82,-0.07,-1.22,0.0,0.04,0.01,1688390313.67209
0.08,-0.12,-1.14,0.01,0.04,0.0,1688390313.7523215
-0.65,0.07,-0.97,0.0,0.01,-0.0,1688390313.8321383
-0.56,0.33,-1.0,0.0,0.01,0.0,1688390313.9121008
-0.24,-0.04,-1.01,-0.01,0.01,0.0,1688390313.9921637
0.47,-0.19,-0.94,0.0,0.03,0.01,1688390314.0721605
0.39,-0.23,-0.89,0.01,0.03,0.01,1688390314.152157
-0.04,-0.48,-0.77,0.01,0.02,-0.0,1688390314.2321882
-0.54,-0.23,-0.72,0.01,0.02,-0.01,1688390314.3078759
-0.7,-0.19,-0.92,0.01,0.01,-0.01,1688390314.3719394
-0.51,-0.45,-0.99,0.02,0.02,-0.01,1688390314.4560118
0.6,-0.18,-1.06,0.01,0.03,0.02,1688390314.5358913
0.58,-0.03,-0.99,0.01,0.04,0.02,1688390314.6161563
0.0,0.22,-1.09,0.01,0.03,0.01,1688390314.6961014
-0.35,0.32,-0.79,0.0,0.02,0.0,1688390314.7720325
-0.32,0.49,-0.79,-0.01,0.02,0.01,1688390314.8400915
-0.13,0.62,-0.92,-0.01,0.02,0.01,1688390314.9363198
0.7,0.0,-1.14,-0.0,0.03,0.01,1688390315.016112
0.77,-0.14,-1.32,0.0,0.04,0.01,1688390315.1121848
0.36,-0.09,-1.11,0.01,0.04,0.01,1688390315.2042618
-0.42,0.37,-0.89,-0.01,0.02,0.01,1688390315.2879767
-0.27,0.57,-0.84,-0.02,0.01,0.01,1688390315.3841512
1.23,0.05,-1.7,-0.01,0.04,-0.0,1688390315.4640195
1.29,-0.36,-2.09,-0.01,0.05,0.0,1688390315.56026
1.13,-0.45,-1.96,-0.0,0.06,0.0,1688390315.6402886
-0.9,0.12,-1.65,-0.01,0.03,0.01,1688390315.7362897
-0.76,0.39,-1.24,-0.01,0.01,0.01,1688390315.8162735
-0.71,-0.21,-1.71,-0.01,0.02,0.0,1688390315.912242
0.83,-0.82,-1.95,0.0,0.04,0.0,1688390315.9920528
0.69,-0.46,-1.69,0.0,0.04,0.01,1688390316.084327
