Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.13,-1.32,-1.38,0.0,0.02,-0.01,1688377705.444012
0.36,-1.21,-1.56,0.01,0.03,-0.0,1688377705.5202978
0.97,-0.77,-1.45,0.01,0.04,0.01,1688377705.6043508
0.91,-0.6,-1.32,0.01,0.04,0.01,1688377705.684399
-0.33,-0.84,-1.38,0.01,0.03,-0.02,1688377705.7643943
-1.31,-0.57,-1.76,0.03,0.02,-0.03,1688377705.8402793
-1.29,-0.21,-1.7,0.02,0.02,-0.02,1688377705.9242754
0.48,-0.73,-2.11,0.03,0.05,0.0,1688377706.000245
1.02,-0.62,-1.73,0.02,0.05,0.02,1688377706.0803554
1.32,-0.7,-1.81,0.03,0.07,0.02,1688377706.180368
-0.83,-0.18,-1.26,0.01,0.03,-0.01,1688377706.2564282
-0.21,1.0,-1.03,-0.01,0.03,0.01,1688377706.3242831
0.05,0.57,-0.82,-0.03,0.04,0.01,1688377706.4042518
-0.13,0.84,-0.98,-0.04,0.04,0.02,1688377706.4843023
-0.09,0.52,-0.76,-0.04,0.03,0.02,1688377706.5643141
0.0,-0.4,-1.57,-0.04,0.06,-0.01,1688377706.644036
-0.57,-1.23,-1.55,-0.03,0.05,-0.02,1688377706.723744
-1.43,-0.84,-1.48,-0.02,0.03,-0.0,1688377706.8002985
-1.35,-0.52,-1.34,-0.02,0.02,0.0,1688377706.8682814
-1.14,-0.74,-1.2,-0.02,0.01,-0.0,1688377706.9483283
-1.21,-1.07,-1.47,-0.01,0.02,-0.01,1688377707.028285
-0.29,-1.42,-1.73,-0.0,0.03,-0.01,1688377707.1077616
0.16,-1.3,-1.34,-0.0,0.02,-0.0,1688377707.188365
0.43,-1.42,-1.36,0.01,0.02,0.0,1688377707.2644575
0.7,-1.52,-1.65,0.02,0.03,0.0,1688377707.364425
1.09,-1.26,-1.76,0.03,0.04,0.01,1688377707.4443448
0.35,-0.57,-1.43,0.03,0.03,0.01,1688377707.5243878
-0.69,-0.56,-1.06,0.02,0.01,-0.02,1688377707.6043603
-1.04,-0.17,-1.37,0.02,0.0,-0.02,1688377707.6844006
-1.24,-0.39,-1.42,0.03,0.01,-0.03,1688377707.76441
0.75,-0.47,-1.52,0.02,0.03,0.01,1688377707.8442326
1.05,-0.65,-1.45,0.02,0.04,0.02,1688377707.9240236
1.18,-0.88,-1.51,0.03,0.05,0.02,1688377708.0041134
0.92,-0.7,-1.23,0.03,0.05,0.02,1688377708.0843108
0.75,-0.85,-1.23,0.03,0.05,0.01,1688377708.1639452
0.35,0.1,-1.33,0.02,0.04,0.01,1688377708.2444053
-0.06,0.94,-1.16,-0.0,0.04,0.02,1688377708.3243768
0.12,1.19,-1.2,-0.02,0.04,0.02,1688377708.4043684
0.18,1.13,-1.16,-0.03,0.04,0.02,1688377708.4841385
0.01,0.92,-1.0,-0.03,0.03,0.02,1688377708.564259
-0.9,0.83,-1.2,-0.04,0.03,0.02,1688377708.6442063
-1.15,0.45,-1.15,-0.04,0.01,0.02,1688377708.7241678
-0.82,0.84,-1.06,-0.05,0.01,0.02,1688377708.804204
-0.9,0.44,-1.07,-0.05,0.0,0.02,1688377708.8840666
-0.36,-0.81,-1.42,-0.03,0.02,-0.01,1688377708.9639907
-0.28,-1.37,-1.43,-0.01,0.02,-0.01,1688377709.0441594
0.17,-1.76,-1.78,0.01,0.03,-0.01,1688377709.1202192
0.27,-1.85,-1.75,0.02,0.03,-0.01,1688377709.2043111
0.17,-0.5,-1.51,0.01,0.03,0.01,1688377709.2843094
0.0,0.75,-0.89,-0.02,0.02,0.01,1688377709.3643982
0.01,0.67,-0.83,-0.03,0.02,0.01,1688377709.4443815
-0.01,0.65,-0.69,-0.04,0.02,0.01,1688377709.5243206
-0.47,0.46,-0.78,-0.04,0.01,0.01,1688377709.604379
-0.46,-0.86,-1.07,-0.02,0.01,-0.0,1688377709.6844108
-1.66,-1.52,-0.87,-0.02,-0.02,-0.01,1688377709.7643454
-1.27,-1.09,-1.05,0.01,-0.02,-0.0,1688377709.8442702
0.85,-1.06,-1.75,-0.01,0.02,0.01,1688377709.940261
1.35,-1.12,-2.02,-0.0,0.03,0.0,1688377710.020278
1.72,-1.18,-2.43,0.01,0.05,0.01,1688377710.1002524
2.14,-0.88,-2.73,0.01,0.08,0.01,1688377710.18021
2.05,-0.1,-2.5,-0.0,0.09,0.02,1688377710.2602205
1.79,-0.04,-2.09,-0.01,0.08,0.01,1688377710.3401754
1.33,-0.36,-1.52,-0.0,0.07,0.0,1688377710.4197445
0.89,-0.4,-1.22,-0.0,0.06,-0.0,1688377710.5002198
-0.76,-0.33,-1.37,-0.0,0.03,-0.01,1688377710.5843897
-1.14,-0.61,-1.46,0.0,0.03,-0.02,1688377710.6764257
-0.47,-1.73,-1.79,0.04,0.04,-0.04,1688377710.7603831
-0.64,-0.28,-1.61,0.03,0.02,-0.02,1688377710.8523684
0.31,1.07,-1.73,-0.01,0.06,0.03,1688377710.9363525
0.7,0.67,-1.34,-0.02,0.05,0.02,1688377711.0323977
0.04,0.5,-0.62,-0.03,0.03,0.01,1688377711.1284273
-0.1,0.36,-0.34,-0.03,0.03,0.01,1688377711.224346
-0.09,0.34,-0.38,-0.03,0.02,0.01,1688377711.320167
-0.27,-0.62,-1.23,-0.04,0.04,-0.01,1688377711.4164343
-0.18,-1.52,-1.74,-0.03,0.04,-0.02,1688377711.5124009
-0.16,-1.88,-1.97,-0.01,0.05,-0.02,1688377711.608369
0.03,-1.96,-2.13,0.01,0.05,-0.02,1688377711.7001195
0.44,-1.85,-2.14,0.01,0.05,-0.02,1688377711.7839441
0.74,-0.89,-1.63,0.0,0.05,0.0,1688377711.8762014
1.09,-0.86,-1.5,-0.0,0.05,-0.0,1688377711.9600303
1.21,-0.64,-1.59,-0.0,0.06,0.0,1688377712.0562544
-0.84,-0.62,-1.57,0.01,0.03,-0.02,1688377712.148162
-1.42,-0.35,-1.62,0.0,0.01,-0.01,1688377712.2281303
-1.21,-0.93,-1.47,0.01,0.01,-0.02,1688377712.3080788
-1.24,-1.54,-1.94,0.03,0.02,-0.03,1688377712.3921556
-0.42,0.74,-1.2,-0.0,0.01,0.01,1688377712.4680662
-0.01,0.83,-0.99,-0.03,0.02,0.01,1688377712.547975
0.06,0.85,-0.84,-0.04,0.02,0.01,1688377712.6281223
-0.15,0.88,-1.06,-0.06,0.02,0.02,1688377712.7121804
0.05,-0.92,-1.54,-0.04,0.04,-0.01,1688377712.8043725
-0.07,-1.86,-1.94,-0.01,0.04,-0.02,1688377712.8884056
-0.02,-1.77,-1.85,0.01,0.03,-0.01,1688377712.9804263
0.0,0.47,-1.17,-0.03,0.03,0.01,1688377713.0603747
0.16,1.07,-1.02,-0.04,0.02,0.01,1688377713.1443944
0.27,0.31,-1.31,-0.05,0.03,-0.0,1688377713.2363992
-0.21,-1.42,-1.45,-0.02,0.02,-0.01,1688377713.3201566
0.36,-1.72,-1.82,-0.01,0.04,-0.01,1688377713.412191
1.43,-0.36,-2.06,-0.02,0.06,0.01,1688377713.4919655
1.88,0.01,-2.29,-0.03,0.07,0.0,1688377713.5762708
1.9,-0.27,-2.26,-0.02,0.09,-0.01,1688377713.6562068
1.7,-0.63,-1.99,-0.02,0.09,-0.01,1688377713.7361748
1.37,-0.57,-1.59,-0.01,0.08,-0.01,1688377713.816386
-0.16,-0.38,-1.28,-0.02,0.05,-0.0,1688377713.908266
-0.89,-0.48,-1.31,-0.01,0.03,-0.01,1688377713.9921236
-1.09,-1.11,-1.55,0.0,0.03,-0.02,1688377714.0884023
-0.17,-1.72,-1.57,0.02,0.04,-0.02,1688377714.1843815
0.43,-1.68,-1.66,0.04,0.05,-0.01,1688377714.2803776
0.3,-0.47,-1.28,0.02,0.05,0.01,1688377714.3765259
0.01,0.53,-0.66,-0.02,0.03,0.02,1688377714.4723494
0.04,0.58,-0.62,-0.03,0.03,0.02,1688377714.568348
-0.21,0.78,-0.97,-0.04,0.03,0.02,1688377714.6644473
-0.67,0.53,-0.82,-0.05,0.03,0.02,1688377714.7602692
-0.65,0.77,-0.81,-0.05,0.02,0.03,1688377714.856364
-0.72,0.71,-0.9,-0.06,0.02,0.03,1688377714.9483037
-0.46,0.77,-0.78,-0.05,0.02,0.02,1688377715.0322363
-0.2,0.42,-0.35,-0.04,0.02,0.02,1688377715.1122365
-0.48,-0.05,-0.82,-0.06,0.03,0.02,1688377715.1921685
-0.21,-0.99,-1.15,-0.05,0.03,-0.0,1688377715.2722154
-0.54,-1.28,-1.0,-0.04,0.02,0.01,1688377715.3519144
-0.34,-1.17,-1.1,-0.04,0.02,-0.0,1688377715.4320176
-0.38,-1.42,-1.14,-0.03,0.01,0.0,1688377715.5120077
