Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.61,-0.07,-0.23,-0.02,0.01,0.01,1688739073.0422225
-0.93,-0.01,-0.29,-0.02,0.01,0.01,1688739073.1225252
-1.16,-0.02,-0.25,-0.02,0.02,0.0,1688739073.1985545
-0.88,0.04,-0.21,-0.02,0.01,0.01,1688739073.2825816
-1.26,-0.09,-0.28,-0.02,0.02,0.0,1688739073.3746088
-1.3,-0.11,-0.3,-0.02,0.02,-0.0,1688739073.458625
-0.56,-0.28,-1.5,-0.01,0.03,0.0,1688739073.554586
-1.39,-0.47,-1.72,-0.01,0.04,-0.0,1688739073.6305099
-1.05,-0.37,-1.63,-0.01,0.03,0.0,1688739073.714527
-1.33,-0.13,-1.09,0.0,0.03,-0.01,1688739073.794503
-0.96,-0.03,-0.93,0.01,0.02,-0.01,1688739073.8743477
-0.6,0.31,-1.08,0.0,0.02,0.01,1688739073.9542243
-0.81,0.58,-1.25,-0.02,0.04,0.02,1688739074.0344753
-1.61,0.03,-1.23,-0.01,0.02,0.0,1688739074.1143258
-1.27,-0.45,-1.34,0.0,0.02,-0.01,1688739074.1941729
-0.56,-0.12,-1.55,0.02,0.03,-0.01,1688739074.2704415
-0.51,0.07,-1.35,0.02,0.02,-0.0,1688739074.3541632
-0.05,0.36,-1.26,0.03,0.03,0.01,1688739074.4341924
-0.01,0.48,-1.27,-0.01,0.02,0.02,1688739074.5144074
-0.83,0.57,-1.4,-0.02,0.02,0.01,1688739074.5941992
-0.83,0.92,-1.86,-0.03,0.04,0.02,1688739074.6702132
-1.31,0.15,-1.62,-0.02,0.04,0.0,1688739074.754286
-0.15,-0.21,-1.62,0.02,0.03,-0.0,1688739074.834361
0.59,-0.05,-1.84,0.02,0.04,0.02,1688739074.9144046
0.32,0.49,-1.27,0.01,0.02,0.02,1688739074.9944751
-0.11,0.48,-1.08,0.0,0.02,0.02,1688739075.074479
-0.53,0.4,-0.82,-0.0,0.02,0.02,1688739075.1543827
-0.84,0.06,-1.11,-0.0,0.02,0.01,1688739075.234403
-1.6,-0.14,-1.77,0.01,0.02,-0.01,1688739075.3144476
-0.57,-0.26,-1.77,0.01,0.04,-0.01,1688739075.3942525
1.19,-0.04,-1.5,0.02,0.04,0.04,1688739075.474483
2.05,0.03,-1.53,0.02,0.04,0.05,1688739075.554545
1.36,0.4,-1.09,0.0,0.02,0.04,1688739075.6342149
0.36,0.38,-0.8,-0.01,0.02,0.02,1688739075.7143166
-0.13,0.1,-0.89,-0.01,0.02,0.01,1688739075.7942476
-0.68,0.15,-1.14,-0.01,0.03,0.01,1688739075.8743894
-0.88,0.02,-1.12,-0.01,0.03,0.01,1688739075.9544775
-1.59,-0.93,-1.39,0.01,0.03,-0.04,1688739076.03446
0.09,-0.65,-1.44,0.02,0.04,-0.02,1688739076.1143055
0.61,-0.21,-1.24,0.01,0.02,0.01,1688739076.1905138
0.53,0.04,-1.11,0.0,0.02,0.01,1688739076.2704608
-0.56,-0.05,-1.1,-0.01,0.02,0.01,1688739076.3505247
-1.59,0.13,-1.57,-0.01,0.03,0.01,1688739076.430494
-1.82,-0.41,-1.31,-0.01,0.02,0.0,1688739076.498244
-1.47,-0.22,-1.02,-0.01,0.02,0.01,1688739076.578539
-0.09,-0.08,-0.98,-0.02,0.02,0.02,1688739076.6582227
0.0,-0.09,-0.94,-0.02,0.02,0.01,1688739076.738581
-0.1,0.06,-1.15,-0.02,0.02,0.01,1688739076.8145146
-0.82,-0.29,-1.11,-0.02,0.01,0.01,1688739076.8984606
-0.96,-0.14,-1.1,-0.01,0.01,0.01,1688739076.9743176
-1.24,-0.01,-1.08,-0.01,0.01,0.01,1688739077.0585418
-1.75,0.71,-1.22,-0.02,0.04,0.01,1688739077.1384754
-1.75,0.82,-1.8,-0.03,0.06,0.03,1688739077.2185261
-0.66,0.72,-2.13,-0.04,0.08,0.02,1688739077.2984333
-0.65,0.36,-2.0,-0.03,0.07,0.01,1688739077.378161
-0.84,-0.14,-1.9,0.0,0.06,-0.02,1688739077.4582822
-0.8,-0.18,-1.77,0.02,0.05,-0.02,1688739077.53847
-1.1,0.68,-2.18,-0.02,0.08,0.01,1688739077.6185207
-0.43,0.89,-2.31,-0.03,0.07,0.03,1688739077.6982887
-0.35,-0.34,-1.61,0.01,0.05,-0.01,1688739077.778299
