Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-1.61,-0.12,0.66,-0.01,-0.04,0.02,1688738400.7026336
-1.43,-0.19,0.53,-0.01,-0.04,0.01,1688738400.794374
-2.03,-0.21,0.96,-0.01,-0.06,0.02,1688738400.8783262
-2.74,-0.06,1.24,-0.01,-0.07,0.02,1688738400.9746134
-3.14,0.1,1.29,-0.01,-0.07,0.03,1688738401.0707226
-3.03,0.32,1.52,-0.01,-0.09,0.03,1688738401.1664457
-2.85,0.63,1.24,-0.01,-0.08,0.03,1688738401.2627122
-3.0,0.49,1.16,-0.02,-0.07,0.02,1688738401.358615
-3.25,0.61,1.13,-0.02,-0.08,0.02,1688738401.4546833
-3.5,0.52,1.06,-0.01,-0.07,0.01,1688738401.550705
-3.47,0.26,0.35,-0.01,-0.04,-0.01,1688738401.6466553
-3.7,0.13,0.36,-0.02,-0.04,-0.01,1688738401.7386532
-3.74,0.08,0.29,-0.02,-0.03,-0.01,1688738401.8226213
-4.11,-0.1,0.34,-0.01,-0.04,-0.02,1688738401.9185784
-4.22,-0.24,-0.27,-0.01,-0.01,-0.03,1688738402.0146909
-4.06,-0.46,-0.34,0.01,-0.05,-0.02,1688738402.1106455
-4.03,-0.77,-0.3,0.01,-0.05,-0.02,1688738402.2063081
-4.35,-1.14,0.11,0.02,-0.07,-0.03,1688738402.3026679
-4.06,-0.61,0.35,0.01,-0.06,-0.02,1688738402.3986838
-3.47,-0.39,0.38,0.01,-0.06,-0.01,1688738402.4946606
-2.97,-0.3,0.29,-0.0,-0.05,-0.01,1688738402.5906408
-2.3,-0.22,0.31,-0.02,-0.05,0.0,1688738402.686669
-2.17,0.37,0.24,-0.02,-0.05,0.01,1688738402.7826371
-2.32,-0.01,0.56,-0.02,-0.05,0.01,1688738402.8786457
-2.53,-0.17,0.53,-0.02,-0.05,0.0,1688738402.9746482
-3.3,-0.61,0.28,-0.0,-0.05,-0.01,1688738403.070611
-3.92,-1.06,-0.09,0.01,-0.05,-0.03,1688738403.1504524
-4.37,-1.56,-0.19,0.02,-0.06,-0.06,1688738403.2305064
-4.96,-1.12,-0.29,0.01,-0.04,-0.06,1688738403.3105667
-6.35,-1.38,0.74,0.04,-0.09,-0.07,1688738403.3905578
-6.45,-1.84,0.97,0.05,-0.1,-0.07,1688738403.4705057
-5.85,-1.07,0.48,0.03,-0.08,-0.03,1688738403.5505753
-4.79,-0.72,0.43,0.01,-0.08,-0.02,1688738403.629933
-3.41,-0.29,0.12,-0.0,-0.06,-0.0,1688738403.7099342
-2.64,-0.24,0.39,-0.01,-0.07,-0.0,1688738403.790684
-1.11,0.42,0.41,-0.02,-0.05,0.03,1688738403.8866189
-0.88,0.42,0.41,-0.03,-0.04,0.02,1688738403.9826572
-0.94,0.3,0.35,-0.03,-0.05,0.02,1688738404.0746448
-1.2,0.48,0.16,-0.03,-0.04,0.02,1688738404.1585774
-2.01,0.39,0.18,-0.03,-0.04,-0.01,1688738404.2545934
-2.63,0.45,0.27,-0.02,-0.05,-0.01,1688738404.3504908
-2.77,0.55,0.22,-0.02,-0.05,-0.02,1688738404.4465
-3.85,0.63,-0.05,-0.02,-0.05,-0.05,1688738404.5425286
-4.73,0.49,-0.27,-0.02,-0.05,-0.06,1688738404.63854
-5.48,0.57,-0.06,-0.01,-0.06,-0.06,1688738404.7343698
-5.52,0.38,2.74,0.09,-0.2,-0.06,1688738404.8144236
-5.61,1.01,2.89,0.08,-0.21,-0.06,1688738404.894455
-5.57,1.94,-0.26,-0.02,-0.05,-0.04,1688738404.9705632
-4.57,1.71,-0.31,-0.02,-0.04,-0.03,1688738405.0544424
-3.61,1.36,-0.27,-0.03,-0.04,-0.03,1688738405.134489
-3.49,0.98,0.03,-0.02,-0.05,-0.02,1688738405.2140787
-3.37,0.63,0.21,-0.02,-0.06,-0.01,1688738405.2945387
-3.3,0.03,0.19,-0.02,-0.06,-0.03,1688738405.3740873
-3.42,-0.16,0.4,-0.02,-0.07,-0.03,1688738405.4706638
-2.46,0.14,0.35,-0.02,-0.07,-0.01,1688738405.5666642
-2.21,0.36,0.5,-0.03,-0.07,-0.0,1688738405.6625159
-2.19,0.71,0.69,-0.03,-0.08,0.0,1688738405.7586594
-2.09,0.11,0.66,-0.02,-0.08,0.0,1688738405.8546526
-2.13,-0.21,0.62,-0.02,-0.07,0.0,1688738405.950638
-2.51,-0.46,0.61,-0.01,-0.08,-0.01,1688738406.0467057
-2.92,-0.83,0.52,-0.01,-0.08,-0.03,1688738406.1224766
-3.13,-1.28,0.22,0.0,-0.05,-0.04,1688738406.206503
-3.26,-1.42,-0.05,0.0,-0.04,-0.05,1688738406.2864628
-3.12,-1.1,-0.07,0.0,-0.04,-0.04,1688738406.3625703
-2.34,-0.92,0.12,-0.01,-0.05,-0.02,1688738406.4465635
-1.41,-0.67,0.33,-0.01,-0.06,-0.01,1688738406.526447
-1.23,-0.9,0.39,-0.01,-0.06,-0.0,1688738406.602559
-0.85,-0.48,0.32,-0.01,-0.06,-0.0,1688738406.6865225
