Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.26,0.09,0.28,-0.01,-0.03,0.0,1688396550.116272
-0.27,0.17,0.27,-0.01,-0.03,0.01,1688396550.2122874
-0.19,0.09,0.17,-0.01,-0.03,0.0,1688396550.308272
-0.07,0.22,0.06,-0.01,-0.02,0.01,1688396550.4043376
-0.14,0.24,-0.01,-0.01,-0.02,0.01,1688396550.5003285
-0.01,0.12,-0.1,-0.01,-0.01,0.01,1688396550.5962958
0.07,0.13,-0.23,-0.01,-0.01,0.01,1688396550.6760194
0.08,0.02,-0.3,-0.01,-0.01,0.01,1688396550.7522037
0.2,-0.03,-0.6,-0.0,-0.01,0.0,1688396550.836362
0.36,0.03,-0.54,-0.0,0.0,0.01,1688396550.916176
0.52,-0.02,-0.53,-0.0,-0.0,0.0,1688396551.0123246
0.21,-0.03,-0.38,-0.01,-0.01,0.01,1688396551.108317
0.37,-0.06,-0.42,-0.0,-0.01,0.0,1688396551.2039664
0.11,-0.14,-0.33,-0.0,-0.01,0.0,1688396551.3001354
0.27,-0.09,-0.25,-0.0,-0.01,0.01,1688396551.3802617
-0.36,-0.24,-0.48,0.0,-0.01,0.0,1688396551.4764287
-0.53,-0.17,-0.85,0.0,-0.01,-0.0,1688396551.5562
-0.51,-0.1,-0.78,0.01,-0.01,-0.01,1688396551.636114
-0.58,-0.1,-0.81,0.01,-0.01,-0.01,1688396551.7162545
-0.58,-0.13,-0.83,0.01,-0.01,-0.01,1688396551.7962348
0.28,-0.13,-0.9,0.0,0.01,0.01,1688396551.8762457
0.73,0.06,-0.98,0.01,0.01,0.01,1688396551.955979
0.62,0.05,-0.88,0.0,0.01,0.01,1688396552.0364301
0.79,0.07,-1.01,0.0,0.01,0.01,1688396552.1322815
0.35,0.44,-0.82,-0.0,0.0,0.02,1688396552.212275
-0.08,0.53,-0.65,-0.01,-0.0,0.02,1688396552.308281
-0.44,0.36,-0.8,-0.01,0.0,0.01,1688396552.404274
-0.8,-0.04,-0.89,-0.0,-0.01,0.0,1688396552.5003169
-0.64,-0.25,-0.97,-0.0,-0.01,-0.0,1688396552.5962777
0.52,-0.53,-1.1,0.01,0.01,-0.0,1688396552.6882415
0.8,-0.55,-1.12,0.01,0.01,0.01,1688396552.7682116
0.98,-0.5,-1.4,0.01,0.02,0.01,1688396552.8520591
1.05,-0.23,-1.35,0.0,0.02,0.01,1688396552.932085
0.75,0.18,-1.05,0.0,0.01,0.01,1688396553.0081663
0.47,0.31,-0.78,-0.0,0.0,0.02,1688396553.0881665
-0.29,0.36,-0.92,-0.0,-0.0,0.01,1688396553.1722035
-1.33,0.14,-1.29,0.01,0.0,-0.0,1688396553.2516778
-1.09,-0.06,-1.67,0.01,-0.0,-0.01,1688396553.3322656
-1.15,-0.17,-1.53,0.01,-0.0,-0.01,1688396553.4282856
-0.95,-0.16,-1.42,0.01,-0.0,-0.01,1688396553.5079386
0.39,-0.3,-1.47,0.01,0.01,0.01,1688396553.5882235
1.46,-0.31,-1.68,0.01,0.03,0.02,1688396553.6803029
1.42,-0.16,-1.84,0.01,0.04,0.02,1688396553.7642229
1.49,-0.14,-1.88,0.01,0.04,0.02,1688396553.8442767
1.36,-0.09,-1.88,0.01,0.05,0.02,1688396553.9238644
1.45,0.16,-1.84,0.01,0.05,0.02,1688396554.0002422
1.3,0.16,-1.77,0.01,0.05,0.02,1688396554.0802963
-0.27,-0.15,-1.48,0.01,0.03,-0.0,1688396554.1642663
-1.14,-0.48,-1.74,0.02,0.01,-0.02,1688396554.2437978
-1.24,-0.68,-1.93,0.03,0.01,-0.02,1688396554.3242311
-1.18,-0.21,-1.64,0.02,0.0,-0.01,1688396554.4044192
-0.95,0.03,-1.29,0.01,0.0,-0.01,1688396554.5002952
-0.18,0.42,-1.07,0.0,0.0,0.01,1688396554.580406
0.42,0.45,-0.92,-0.0,0.01,0.01,1688396554.676268
0.73,0.24,-0.93,-0.0,0.02,0.02,1688396554.7564504
0.68,0.37,-0.88,-0.0,0.01,0.01,1688396554.85236
0.76,0.23,-0.96,-0.01,0.02,0.01,1688396554.9482934
0.61,0.16,-1.01,-0.0,0.02,0.01,1688396555.0281708
0.06,0.33,-1.06,0.0,0.01,0.01,1688396555.1083257
-0.68,0.03,-1.22,0.01,0.01,0.0,1688396555.184367
-0.77,-0.18,-1.42,0.01,0.01,-0.01,1688396555.2682567
-1.05,-0.35,-1.38,0.01,0.0,-0.01,1688396555.3482518
-1.09,-0.25,-1.43,0.01,-0.0,-0.01,1688396555.428148
-1.09,-0.13,-1.4,0.01,-0.0,-0.01,1688396555.5078757
-1.2,-0.28,-1.41,0.01,-0.0,-0.01,1688396555.5884476
-1.03,-0.31,-1.36,0.01,-0.0,-0.01,1688396555.6640747
-0.78,-0.31,-1.26,0.01,-0.01,-0.01,1688396555.7483335
-0.68,-0.23,-0.98,0.01,-0.01,-0.0,1688396555.8284256
0.18,-0.12,-0.58,-0.0,0.0,0.0,1688396555.924242
0.28,0.06,-0.49,-0.0,-0.01,0.01,1688396556.000264
0.33,-0.05,-0.54,-0.0,0.0,0.01,1688396556.0843985
0.25,0.05,-0.44,-0.0,-0.01,0.0,1688396556.176147
0.31,0.1,-0.46,-0.0,-0.0,0.01,1688396556.2562513
0.07,-0.03,-0.49,-0.0,-0.0,0.0,1688396556.340271
-0.74,-0.17,-0.7,0.0,-0.01,-0.0,1688396556.4202135
-0.67,-0.25,-0.75,-0.0,-0.01,-0.01,1688396556.4961538
-0.85,-0.07,-0.7,0.0,-0.01,-0.0,1688396556.5641634
-0.76,-0.26,-0.67,-0.0,-0.01,0.0,1688396556.6442711
-0.91,-0.22,-0.61,0.0,-0.01,-0.01,1688396556.7239983
-0.71,-0.21,-0.72,0.0,-0.0,-0.01,1688396556.8042839
-0.94,-0.28,-0.9,0.01,-0.01,-0.01,1688396556.8841817
-0.79,-0.06,-0.96,0.01,-0.0,-0.01,1688396556.9640143
-0.67,-0.2,-1.0,0.01,-0.01,-0.01,1688396557.0441527
-0.8,-0.18,-0.86,0.01,-0.0,-0.01,1688396557.1240082
0.07,-0.29,-0.95,0.01,0.01,0.0,1688396557.1999753
0.83,-0.11,-0.9,0.0,0.01,0.01,1688396557.2841563
0.82,0.03,-1.2,0.01,0.02,0.02,1688396557.3639672
1.21,-0.01,-1.45,0.01,0.03,0.02,1688396557.443987
1.27,-0.03,-1.53,0.01,0.03,0.02,1688396557.5239327
1.2,0.0,-1.54,0.01,0.04,0.02,1688396557.603983
1.26,-0.02,-1.57,0.01,0.04,0.02,1688396557.6840723
1.31,0.03,-1.6,0.01,0.04,0.02,1688396557.7638936
1.14,0.05,-1.53,0.01,0.04,0.02,1688396557.8442564
0.39,-0.21,-1.39,0.01,0.02,0.01,1688396557.9242272
-0.65,-0.26,-1.29,0.01,0.01,-0.01,1688396558.004289
-1.15,-0.38,-1.26,0.01,0.01,-0.02,1688396558.0842474
-0.98,-0.36,-1.34,0.01,0.01,-0.02,1688396558.1602921
-1.02,-0.24,-1.41,0.02,0.01,-0.02,1688396558.228144
-1.15,-0.28,-1.45,0.02,0.01,-0.02,1688396558.3083289
-1.17,-0.2,-1.39,0.02,0.01,-0.02,1688396558.3880885
-0.43,-0.16,-1.37,0.02,0.02,-0.01,1688396558.46435
0.15,-0.1,-1.39,0.02,0.02,0.01,1688396558.5482771
0.74,-0.19,-1.36,0.02,0.03,0.01,1688396558.6283975
0.93,-0.1,-1.37,0.01,0.03,0.02,1688396558.7242043
0.91,-0.01,-1.29,0.01,0.03,0.02,1688396558.8043952
0.96,-0.07,-1.24,0.01,0.03,0.02,1688396558.8842967
1.03,-0.13,-1.23,0.01,0.03,0.02,1688396558.9641492
0.78,-0.17,-1.1,0.01,0.03,0.02,1688396559.04434
0.63,-0.25,-1.08,0.01,0.03,0.01,1688396559.1242826
0.58,-0.29,-1.14,0.01,0.02,0.01,1688396559.204052
0.1,-0.65,-1.06,0.01,0.02,0.0,1688396559.2843
-0.09,-0.74,-0.99,0.02,0.01,-0.01,1688396559.3638127
-0.24,-0.76,-0.98,0.01,0.01,-0.01,1688396559.444239
-0.27,-0.69,-1.01,0.02,0.01,-0.01,1688396559.524369
-0.29,-0.49,-1.0,0.02,0.01,-0.01,1688396559.6043298
-0.13,-0.08,-1.1,0.01,0.01,0.0,1688396559.6842937
0.11,0.42,-1.06,0.0,0.02,0.01,1688396559.7643497
0.14,0.8,-1.04,0.0,0.01,0.02,1688396559.8444207
0.06,0.82,-0.91,-0.0,0.01,0.02,1688396559.9239736
0.02,0.75,-0.85,-0.0,0.01,0.01,1688396560.004252
-0.12,0.6,-0.88,-0.01,0.01,0.01,1688396560.0841837
-0.16,0.2,-0.91,0.0,0.01,0.01,1688396560.1639645
