Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.39,0.06,-0.57,0.01,0.02,0.0,1688390681.5599656
-0.87,-0.07,-0.4,0.0,-0.0,-0.0,1688390681.639823
-0.89,0.1,-0.37,0.01,-0.0,0.0,1688390681.7198055
0.37,0.11,-0.55,0.02,0.02,0.0,1688390681.8000166
1.02,-0.33,-0.81,0.01,0.04,0.0,1688390681.8803747
0.56,-0.69,-0.74,0.01,0.03,-0.01,1688390681.9603813
-0.74,-0.33,-0.44,0.02,0.0,-0.01,1688390682.056261
-0.39,-0.78,-0.62,0.03,0.0,-0.01,1688390682.136515
1.3,-0.58,-0.86,0.03,0.03,0.01,1688390682.2325141
0.61,0.02,-1.01,0.03,0.04,0.01,1688390682.3121107
-1.28,0.17,-0.71,0.02,-0.0,-0.02,1688390682.408609
-1.24,0.1,-0.99,0.02,-0.01,-0.02,1688390682.503993
1.0,-1.04,-1.02,0.03,0.03,0.01,1688390682.5840988
1.32,-0.85,-0.96,0.03,0.04,0.02,1688390682.6641846
-0.66,0.71,-0.89,0.01,0.01,-0.0,1688390682.7401564
-0.34,0.74,-0.54,0.0,0.01,0.01,1688390682.8243139
-2.12,0.96,-0.42,-0.03,-0.02,0.04,1688390682.9043067
1.85,-0.28,-1.81,-0.01,0.06,-0.02,1688390682.9843433
2.11,-1.32,-2.11,-0.0,0.06,-0.02,1688390683.0643234
1.46,-0.87,-1.86,-0.02,0.05,-0.01,1688390683.144004
-1.09,0.66,-0.78,-0.0,0.0,0.01,1688390683.2243361
-1.48,0.51,-1.11,-0.01,0.0,0.01,1688390683.3042831
1.72,-1.25,-1.87,0.01,0.05,-0.01,1688390683.3845425
1.9,-1.19,-1.64,0.01,0.05,-0.01,1688390683.459994
1.62,-0.71,-1.69,0.01,0.06,-0.01,1688390683.544083
-1.89,0.16,-1.18,-0.01,-0.0,0.0,1688390683.6239371
-2.13,-0.2,-1.14,0.01,-0.0,-0.0,1688390683.6998992
-0.09,-1.37,-1.49,0.02,0.02,-0.01,1688390683.7676072
2.18,-1.4,-2.11,0.02,0.07,0.0,1688390683.848025
1.93,-0.79,-1.69,0.01,0.06,0.0,1688390683.9279478
-1.5,-0.3,-0.97,0.01,0.0,-0.01,1688390684.0079336
-1.74,-0.2,-0.84,0.01,0.0,-0.01,1688390684.0880158
0.37,-1.1,-1.44,0.04,0.04,-0.01,1688390684.1679153
1.93,-1.4,-1.78,0.04,0.07,0.01,1688390684.2484365
1.06,-0.66,-1.26,0.02,0.05,0.01,1688390684.3444536
-1.4,-0.19,-0.73,0.02,-0.0,-0.01,1688390684.424066
-1.8,-0.34,-1.12,0.03,0.0,-0.03,1688390684.5045362
1.57,-0.45,-1.6,0.03,0.04,0.01,1688390684.5841162
2.29,-0.57,-1.58,0.02,0.04,0.02,1688390684.6802325
-0.34,0.51,-0.7,0.01,0.01,0.0,1688390684.7604394
-0.3,0.29,-0.29,0.0,0.01,0.0,1688390684.8524058
0.75,0.07,-1.32,0.01,0.03,0.01,1688390684.936232
2.61,-0.93,-2.22,0.01,0.05,0.01,1688390685.0165455
3.25,-0.49,-2.61,0.01,0.06,0.01,1688390685.112452
3.11,-0.45,-2.38,0.01,0.06,0.01,1688390685.192429
2.76,-0.63,-2.12,0.02,0.07,0.0,1688390685.2884123
2.07,-0.7,-1.51,0.0,0.06,0.0,1688390685.3679452
-0.16,0.24,-0.64,-0.0,0.02,0.0,1688390685.4482641
-0.5,0.42,-0.51,-0.0,0.01,0.0,1688390685.5281749
