Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.12,0.34,-0.89,0.0,0.01,0.02,1688474418.5180812
0.19,0.22,-1.18,0.0,0.02,0.01,1688474418.610048
-0.14,-0.75,-1.47,0.01,0.01,-0.0,1688474418.6939301
-0.1,-0.77,-1.55,0.02,0.02,-0.0,1688474418.7900765
0.08,-0.75,-1.66,0.03,0.03,-0.0,1688474418.8860977
0.39,-0.54,-1.55,0.02,0.03,0.01,1688474418.982097
0.68,0.34,-1.42,0.01,0.03,0.02,1688474419.0622587
0.34,0.59,-1.13,0.0,0.02,0.02,1688474419.1579752
0.18,0.6,-0.92,0.0,0.01,0.02,1688474419.2378297
-0.18,0.5,-1.18,-0.0,0.01,0.01,1688474419.3177335
-0.64,-0.34,-1.67,0.01,0.02,-0.0,1688474419.397997
-0.61,-0.73,-1.78,0.01,0.02,-0.0,1688474419.4780872
-0.42,-1.03,-1.68,0.01,0.02,-0.0,1688474419.558083
-0.52,-1.23,-1.63,0.01,0.03,-0.01,1688474419.6377838
0.14,-1.04,-1.65,0.01,0.02,0.0,1688474419.7341306
0.4,-0.57,-1.36,0.02,0.02,0.0,1688474419.8100822
0.28,-0.35,-1.2,0.02,0.02,0.01,1688474419.8939018
0.41,-0.56,-1.22,0.02,0.02,0.01,1688474419.9738488
0.24,-0.57,-1.1,0.02,0.02,0.0,1688474420.0539372
-0.04,-0.58,-1.03,0.02,0.01,-0.01,1688474420.130113
-0.23,0.1,-1.01,0.01,0.01,0.01,1688474420.214139
0.09,0.54,-1.0,0.01,0.02,0.01,1688474420.2939975
0.12,0.66,-1.1,-0.0,0.02,0.02,1688474420.3738608
0.59,0.32,-1.32,0.0,0.04,0.01,1688474420.4538589
0.45,-0.49,-1.2,0.0,0.03,0.0,1688474420.5334833
0.07,-0.37,-0.86,0.01,0.01,0.0,1688474420.6134808
-0.06,-0.38,-0.86,0.01,0.01,-0.0,1688474420.6940734
-0.33,-0.27,-0.95,0.01,0.01,-0.0,1688474420.773522
-0.44,0.04,-1.03,0.01,0.01,0.0,1688474420.8537657
-0.12,0.48,-0.95,0.01,0.01,0.01,1688474420.933484
0.17,0.56,-0.94,0.0,0.01,0.01,1688474421.0138547
