Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.04,-0.07,-0.26,-0.01,0.0,-0.0,1688743617.5705442
0.05,0.05,-0.21,-0.01,0.0,-0.0,1688743617.6465795
-0.01,-0.05,-0.31,-0.01,0.0,-0.0,1688743617.730635
0.01,-0.09,-0.21,-0.01,0.0,-0.01,1688743617.8066797
-0.01,0.03,-0.27,-0.01,0.0,-0.0,1688743617.89067
0.12,0.01,-0.53,-0.01,0.01,-0.0,1688743617.9663432
0.09,-0.06,-0.67,-0.01,0.02,-0.01,1688743618.0305548
-0.05,-0.05,-0.78,-0.01,0.03,-0.01,1688743618.0980392
-0.16,-0.26,-0.91,-0.0,0.02,-0.01,1688743618.178325
-0.08,-0.26,-0.76,0.0,0.02,-0.01,1688743618.2746563
-0.12,-0.46,-0.88,-0.0,0.02,-0.01,1688743618.3546557
0.0,-0.76,-0.93,0.0,0.02,-0.02,1688743618.4506462
0.01,-0.37,-0.75,0.0,0.02,-0.01,1688743618.5306637
-0.27,-0.4,-0.61,-0.0,0.01,-0.01,1688743618.6265137
-0.15,-0.38,-0.76,0.0,0.01,-0.01,1688743618.706618
-0.14,-0.33,-0.71,0.0,0.01,-0.01,1688743618.7866654
-0.49,-0.26,-0.77,0.0,0.01,-0.01,1688743618.866619
-0.34,-0.14,-0.77,0.0,0.0,-0.01,1688743618.9465005
-0.49,0.05,-0.81,0.01,0.01,-0.01,1688743619.0265927
-0.41,0.06,-0.85,-0.01,0.01,0.0,1688743619.1063342
-0.15,0.42,-0.91,-0.01,0.02,0.01,1688743619.186671
0.1,0.68,-1.28,-0.01,0.02,0.02,1688743619.2666485
0.26,0.71,-1.36,-0.02,0.03,0.02,1688743619.3467047
0.2,0.77,-1.35,-0.02,0.04,0.02,1688743619.4266374
0.12,0.52,-1.23,-0.02,0.03,0.02,1688743619.5186462
-0.09,0.44,-1.09,-0.02,0.03,0.01,1688743619.5986383
0.79,0.48,-1.38,-0.02,0.05,0.0,1688743619.6827064
0.43,0.12,-0.76,-0.01,0.03,0.0,1688743619.7623873
0.28,-0.29,-0.76,-0.0,0.02,-0.01,1688743619.8384957
0.23,-0.46,-1.04,0.0,0.03,-0.01,1688743619.9065373
0.3,-0.5,-1.03,0.01,0.03,-0.01,1688743619.9866824
0.5,-0.42,-1.0,0.01,0.03,-0.01,1688743620.0625613
0.48,-0.23,-0.82,0.01,0.02,-0.01,1688743620.1306412
0.57,-0.15,-0.91,0.0,0.03,-0.0,1688743620.210678
0.55,-0.12,-0.92,0.0,0.03,-0.0,1688743620.290656
0.62,0.19,-0.9,0.0,0.04,0.01,1688743620.3703136
0.73,0.19,-1.03,-0.0,0.04,0.01,1688743620.4505901
0.09,0.48,-1.07,-0.0,0.03,0.01,1688743620.5303392
-0.08,0.59,-1.13,-0.01,0.03,0.01,1688743620.6106448
-0.15,0.53,-1.21,-0.01,0.03,0.01,1688743620.6906345
-0.22,0.56,-1.19,-0.02,0.03,0.02,1688743620.770669
-0.47,0.61,-1.24,-0.02,0.04,0.02,1688743620.850641
-0.47,0.43,-1.13,-0.02,0.03,0.02,1688743620.9306107
-0.33,0.0,-0.79,-0.02,0.01,0.01,1688743621.0106523
-0.63,0.12,-0.89,-0.02,0.01,0.01,1688743621.0866287
-0.18,0.48,-0.72,-0.02,0.02,0.01,1688743621.170678
0.42,0.55,-0.86,-0.02,0.04,0.01,1688743621.250656
0.79,0.5,-1.31,-0.04,0.06,0.01,1688743621.3304887
0.3,0.15,-0.83,-0.04,0.03,0.0,1688743621.4100096
0.11,0.33,-0.74,-0.03,0.02,0.01,1688743621.4907346
0.11,0.61,-0.75,-0.03,0.04,0.02,1688743621.57066
0.35,0.32,-1.06,-0.03,0.05,-0.0,1688743621.6506371
0.53,-0.45,-1.76,-0.04,0.08,-0.03,1688743621.7307048
0.52,-1.11,-2.06,-0.05,0.08,-0.04,1688743621.8106751
-0.31,-1.02,-1.55,-0.04,0.03,-0.0,1688743621.8906221
-0.22,-1.22,-1.64,-0.04,0.02,-0.0,1688743621.9705706
-0.19,-0.62,-1.31,-0.03,0.02,-0.0,1688743622.0506203
-0.32,-0.82,-1.35,-0.03,0.02,-0.0,1688743622.1306548
-0.11,-0.73,-1.09,-0.02,0.01,-0.0,1688743622.2107081
-0.29,-0.54,-1.12,-0.01,0.0,0.0,1688743622.2946436
-0.08,-0.65,-1.03,-0.01,0.01,-0.01,1688743622.3866246
-0.09,-0.64,-1.08,-0.0,0.01,-0.01,1688743622.466639
0.03,-0.77,-0.98,-0.0,0.01,-0.01,1688743622.5465758
0.18,-0.23,-0.75,0.0,0.01,-0.01,1688743622.6265259
0.12,-0.34,-0.82,0.0,0.02,-0.01,1688743622.706698
0.55,-0.36,-0.88,0.0,0.02,-0.0,1688743622.786507
0.27,-0.31,-0.73,0.0,0.01,-0.0,1688743622.8665955
0.4,-0.08,-0.66,0.0,0.02,0.0,1688743622.946495
0.28,0.28,-0.65,-0.0,0.02,0.01,1688743623.026533
0.34,0.22,-0.62,-0.0,0.01,0.0,1688743623.1062706
0.13,0.14,-0.55,-0.01,0.01,0.0,1688743623.1864033
0.12,0.16,-0.53,-0.01,0.01,0.0,1688743623.2705755
0.17,0.13,-0.44,-0.01,0.01,-0.0,1688743623.3625295
0.18,-0.08,-0.45,-0.0,0.01,-0.01,1688743623.4424694
-0.27,-0.45,-0.87,-0.01,0.02,-0.01,1688743623.5224564
-0.3,-0.37,-0.97,-0.01,0.02,-0.01,1688743623.6065786
-0.28,-0.3,-1.08,0.0,0.02,-0.01,1688743623.7024853
-0.37,-0.43,-1.16,0.0,0.02,-0.01,1688743623.7984986
-0.42,-0.31,-1.2,0.0,0.02,-0.01,1688743623.8905938
-0.45,-0.36,-1.28,0.01,0.02,-0.01,1688743623.9742796
-0.53,-0.45,-1.37,0.01,0.01,-0.01,1688743624.0543592
