Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.84,-0.34,-0.2,-0.01,0.02,-0.01,1688550254.925624
-0.67,-0.32,-0.15,-0.01,0.02,-0.01,1688550255.009342
-0.91,-0.31,-0.13,-0.01,0.01,-0.02,1688550255.1055822
-1.02,-0.36,-0.21,-0.01,0.02,-0.03,1688550255.2014434
-0.91,-0.24,-0.45,-0.01,0.02,-0.02,1688550255.2815454
-1.0,-0.32,-0.86,-0.01,0.03,-0.01,1688550255.3617225
-1.07,-0.59,-1.18,-0.0,0.03,-0.02,1688550255.441512
-0.62,-0.59,-1.52,0.01,0.04,-0.02,1688550255.5214882
-0.4,-0.7,-1.72,0.01,0.05,-0.02,1688550255.601533
-0.12,-0.6,-1.93,0.02,0.05,-0.02,1688550255.681371
-0.04,-0.63,-2.02,0.02,0.05,-0.02,1688550255.7616122
0.09,-0.53,-2.08,0.03,0.06,-0.01,1688550255.8414044
0.29,-0.33,-2.01,0.03,0.06,-0.01,1688550255.9214847
0.67,-0.26,-2.08,0.03,0.07,0.01,1688550256.0016255
0.86,0.4,-2.27,0.02,0.08,0.02,1688550256.0815542
0.68,0.59,-2.16,0.01,0.07,0.01,1688550256.1615622
0.33,0.49,-1.94,0.0,0.07,0.01,1688550256.2414672
0.47,0.82,-2.09,-0.0,0.08,0.02,1688550256.3376126
0.41,0.76,-1.98,-0.01,0.08,0.03,1688550256.4337096
-0.35,0.66,-1.63,-0.03,0.06,0.03,1688550256.5296493
-0.74,0.72,-1.66,-0.03,0.06,0.02,1688550256.6096659
-1.44,0.39,-1.7,-0.03,0.04,-0.01,1688550256.7016408
-1.66,0.04,-1.7,-0.03,0.04,-0.02,1688550256.7816832
-1.67,-0.39,-1.98,-0.02,0.05,-0.01,1688550256.865604
-1.4,-0.64,-2.31,-0.01,0.06,-0.0,1688550256.9615474
-1.22,-0.67,-2.55,0.01,0.06,-0.01,1688550257.0576215
-1.66,-0.48,-2.65,0.02,0.05,-0.0,1688550257.137343
-1.38,-0.7,-2.6,0.03,0.05,-0.01,1688550257.2336342
-0.38,-0.81,-2.79,0.04,0.06,0.0,1688550257.3134148
0.33,-1.05,-2.72,0.05,0.07,0.0,1688550257.4095817
0.9,-0.92,-3.0,0.06,0.09,0.03,1688550257.4896922
0.37,-0.43,-2.69,0.05,0.08,0.02,1688550257.5856478
-0.37,-0.53,-2.58,0.06,0.07,0.0,1688550257.681668
-0.75,0.15,-2.52,0.06,0.06,-0.02,1688550257.777676
-1.53,-0.23,-2.48,0.05,0.05,-0.03,1688550257.8736215
-1.36,0.13,-2.45,0.05,0.04,-0.02,1688550257.9696288
-1.22,0.21,-2.64,0.04,0.05,-0.02,1688550258.0656362
-0.53,0.51,-2.86,0.03,0.06,-0.0,1688550258.161767
-0.59,0.72,-2.56,0.01,0.05,-0.0,1688550258.2576747
-0.23,0.58,-2.64,0.01,0.07,0.0,1688550258.3377004
-0.67,0.49,-2.23,0.01,0.06,-0.01,1688550258.4335973
-0.91,0.85,-2.18,-0.0,0.05,-0.01,1688550258.5136955
-1.16,0.82,-2.14,-0.0,0.06,-0.02,1688550258.6099384
-0.8,0.62,-2.15,-0.01,0.06,-0.02,1688550258.6896482
-0.46,0.22,-2.27,-0.01,0.06,-0.03,1688550258.7856374
0.0,-0.06,-2.29,-0.02,0.07,-0.02,1688550258.8816488
0.02,-0.68,-2.16,-0.03,0.07,-0.02,1688550258.9616735
