Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.1,-0.3,-0.14,-0.01,-0.0,-0.0,1688737222.2186613
-0.13,-0.26,-0.1,-0.01,-0.0,-0.0,1688737222.302717
-0.2,-0.2,-0.11,-0.0,0.0,-0.0,1688737222.3986495
-0.15,-0.19,-0.16,-0.01,0.0,-0.0,1688737222.4946344
-0.01,-0.17,-0.36,-0.0,0.0,-0.0,1688737222.5907056
0.2,-0.08,-0.53,-0.0,0.01,-0.0,1688737222.6826198
0.42,-0.14,-0.71,0.0,0.02,-0.0,1688737222.7666156
0.7,-0.03,-1.06,0.0,0.03,-0.0,1688737222.8585205
0.69,-0.07,-1.07,0.0,0.03,-0.0,1688737222.9424248
0.52,0.0,-0.95,-0.0,0.03,-0.01,1688737223.0387242
0.33,-0.03,-0.64,-0.0,0.02,-0.0,1688737223.1346
0.37,-0.21,-0.8,0.0,0.03,-0.01,1688737223.2306786
0.73,-0.17,-1.17,0.0,0.05,-0.0,1688737223.3265803
0.76,-0.21,-1.27,0.0,0.05,-0.01,1688737223.4225688
0.02,-0.12,-1.02,0.01,0.04,-0.01,1688737223.5186183
-0.71,-0.25,-0.91,0.0,0.02,-0.01,1688737223.6145499
-0.91,-0.17,-1.11,-0.0,0.02,-0.0,1688737223.7106447
-0.92,0.08,-1.3,-0.01,0.03,0.01,1688737223.8067105
-0.25,0.45,-1.13,-0.02,0.04,0.02,1688737223.9026418
-0.04,0.45,-1.06,-0.02,0.04,0.02,1688737223.9985561
-0.24,0.26,-0.9,-0.03,0.03,0.02,1688737224.0945518
0.2,-0.19,-0.91,-0.02,0.03,-0.01,1688737224.1905303
0.21,-0.78,-1.08,-0.0,0.02,-0.02,1688737224.2866836
0.08,-1.08,-1.5,0.01,0.03,-0.02,1688737224.3825858
-0.13,-1.21,-1.5,0.02,0.03,-0.02,1688737224.47859
-0.14,-1.14,-1.45,0.02,0.03,-0.02,1688737224.574601
-0.41,-0.93,-1.25,0.02,0.02,-0.03,1688737224.6706054
-0.79,0.06,-0.86,-0.01,0.02,0.0,1688737224.766689
-0.32,0.57,-1.1,-0.02,0.04,0.02,1688737224.8585696
-0.17,0.57,-1.18,-0.03,0.05,0.03,1688737224.9424758
-0.11,0.4,-1.04,-0.03,0.04,0.02,1688737225.038556
0.22,-0.25,-1.26,-0.01,0.03,-0.01,1688737225.1346796
1.13,-0.7,-1.89,-0.01,0.05,-0.02,1688737225.2306569
1.04,-0.74,-2.09,0.0,0.07,-0.02,1688737225.3265963
