Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.45,0.36,0.9,-0.02,-0.05,0.01,1688734630.714662
0.02,0.14,0.74,-0.02,-0.05,0.01,1688734630.7906466
0.37,-0.14,0.59,-0.01,-0.04,0.01,1688734630.8706877
0.67,-0.35,0.45,-0.01,-0.03,0.02,1688734630.9547253
1.19,-0.65,0.1,-0.0,-0.02,0.02,1688734631.034683
1.32,-0.53,-0.08,0.0,-0.01,0.03,1688734631.1147008
0.69,-0.48,0.29,0.0,-0.02,0.02,1688734631.1943867
-0.21,-0.29,0.71,-0.0,-0.04,0.0,1688734631.2742746
-0.71,-0.31,0.68,0.0,-0.05,-0.01,1688734631.354393
-1.91,0.1,0.29,0.01,-0.04,-0.02,1688734631.434614
-1.96,0.41,0.1,0.01,-0.05,-0.01,1688734631.5146952
-1.74,1.21,0.05,-0.0,-0.05,-0.0,1688734631.5945182
-1.47,1.37,0.21,-0.02,-0.05,0.0,1688734631.6743598
-0.89,1.29,0.42,-0.02,-0.05,0.01,1688734631.754328
-0.63,0.79,0.69,-0.03,-0.05,0.02,1688734631.8343563
-0.77,0.73,0.71,-0.03,-0.05,0.02,1688734631.9146593
-0.08,0.7,0.59,-0.03,-0.04,0.02,1688734631.9943721
1.82,-0.24,-0.24,-0.02,-0.01,0.01,1688734632.0743515
2.49,-1.02,-0.64,0.0,0.02,0.01,1688734632.1546469
2.66,-1.2,-0.87,-0.0,0.03,0.01,1688734632.2345603
3.21,-0.9,-1.07,0.01,0.05,0.02,1688734632.3185372
3.35,-1.18,-0.99,0.01,0.06,0.01,1688734632.4145114
2.98,-1.39,-0.97,0.01,0.06,0.0,1688734632.5065684
2.11,-1.56,-0.63,0.0,0.04,-0.01,1688734632.5862641
0.01,-1.38,0.1,-0.0,-0.01,-0.02,1688734632.6663706
-1.32,-0.85,-0.1,0.02,-0.03,-0.03,1688734632.7463846
-1.32,-0.93,-0.2,0.01,-0.04,-0.02,1688734632.8262827
-1.52,-0.84,-0.22,0.02,-0.05,-0.02,1688734632.9066308
-1.93,-0.81,-0.33,0.02,-0.06,-0.03,1688734632.9861932
-2.07,0.15,-0.2,0.01,-0.06,-0.01,1688734633.0662632
-0.8,0.9,0.28,-0.02,-0.04,0.02,1688734633.1506484
-0.58,0.85,0.36,-0.04,-0.05,0.02,1688734633.2465858
-0.32,0.91,0.18,-0.06,-0.03,0.01,1688734633.338562
0.08,0.01,0.0,-0.05,-0.03,0.0,1688734633.4226348
-0.24,-0.35,0.26,-0.04,-0.04,0.01,1688734633.5186331
-0.37,-1.09,0.43,-0.02,-0.04,-0.0,1688734633.6145825
-0.1,-1.61,0.12,-0.01,-0.03,-0.01,1688734633.7147171
-0.11,-1.66,0.22,-0.01,-0.03,-0.01,1688734633.790651
0.01,-1.34,0.25,-0.01,-0.03,-0.01,1688734633.8866475
0.09,-1.72,0.06,-0.0,-0.03,-0.01,1688734633.9825962
0.14,-1.76,-0.03,0.01,-0.02,-0.01,1688734634.078543
0.73,-1.73,0.02,0.01,-0.01,-0.0,1688734634.1747146
1.43,-1.01,0.06,-0.0,-0.0,0.02,1688734634.2705338
0.12,-0.28,0.55,-0.0,-0.02,0.01,1688734634.366707
-1.1,0.71,0.29,0.0,-0.03,-0.0,1688734634.4625673
-1.78,0.63,0.06,-0.0,-0.03,0.0,1688734634.5545917
-1.91,0.93,0.09,-0.01,-0.04,0.01,1688734634.6344948
-1.97,1.79,-0.06,-0.02,-0.05,0.01,1688734634.714308
-1.22,1.61,0.26,-0.03,-0.04,0.03,1688734634.7988489
-0.97,0.94,0.65,-0.04,-0.05,0.02,1688734634.8945062
-1.19,0.74,0.23,-0.04,-0.05,0.02,1688734634.9704757
0.32,-0.43,-0.29,-0.02,-0.02,-0.0,1688734635.0545144
1.36,-1.49,-0.12,-0.01,-0.02,-0.01,1688734635.130461
1.96,-0.89,-0.32,-0.01,-0.01,-0.01,1688734635.2106662
2.16,-1.09,-0.43,-0.02,0.01,-0.01,1688734635.2945669
2.04,-1.5,-0.57,-0.01,0.01,-0.02,1688734635.3904824
2.92,-1.2,-0.96,-0.02,0.04,-0.01,1688734635.4665108
2.91,-1.28,-0.94,-0.01,0.04,-0.02,1688734635.5467513
2.59,-1.66,-0.84,-0.0,0.04,-0.02,1688734635.6264267
1.92,-2.08,-0.82,-0.0,0.03,-0.03,1688734635.706481
0.62,-2.04,-0.42,0.0,0.01,-0.03,1688734635.7864623
-0.45,-1.73,-0.21,0.02,-0.02,-0.03,1688734635.8704078
-2.2,-0.86,-0.17,0.01,-0.04,-0.03,1688734635.9625127
-2.92,-0.47,-0.17,-0.0,-0.05,-0.01,1688734636.0466745
-2.55,0.32,-0.09,-0.01,-0.06,0.0,1688734636.138371
-2.06,0.66,0.14,-0.03,-0.06,0.01,1688734636.2224917
-1.4,1.09,0.5,-0.04,-0.05,0.02,1688734636.3024855
-0.6,0.33,0.99,-0.03,-0.05,0.02,1688734636.382473
-0.49,0.64,0.84,-0.03,-0.05,0.02,1688734636.4624586
1.13,-0.12,0.05,-0.02,-0.01,-0.01,1688734636.5383124
1.33,-0.98,-0.03,-0.01,-0.01,-0.01,1688734636.6184666
0.37,-1.41,0.16,-0.01,-0.02,-0.0,1688734636.686547
0.13,-1.39,0.08,0.0,-0.03,-0.0,1688734636.7784224
0.65,-1.93,-0.17,0.02,-0.01,-0.01,1688734636.862683
0.67,-1.56,0.04,0.02,-0.01,0.0,1688734636.9547017
0.12,-0.42,0.51,0.0,-0.03,0.01,1688734637.0384653
-0.26,0.2,0.92,-0.01,-0.05,0.01,1688734637.1306238
-0.44,0.23,1.17,-0.02,-0.06,0.01,1688734637.2146761
-0.4,0.25,1.14,-0.02,-0.05,0.01,1688734637.3102503
-0.81,0.46,0.74,-0.02,-0.05,0.01,1688734637.4067092
-1.18,0.47,0.65,-0.02,-0.05,0.01,1688734637.5026884
-1.3,0.73,0.35,-0.02,-0.05,0.01,1688734637.5946565
-1.03,0.78,0.42,-0.03,-0.05,0.01,1688734637.6786804
-0.91,1.0,0.47,-0.03,-0.05,0.02,1688734637.7746189
1.91,0.39,-0.15,-0.03,-0.01,0.01,1688734637.8503687
2.33,-0.02,-0.44,-0.02,0.01,0.01,1688734637.9343977
2.5,-0.23,-0.49,-0.02,0.01,0.02,1688734638.0146196
2.76,-0.37,-0.61,-0.01,0.02,0.02,1688734638.0944197
2.37,-0.64,-0.56,-0.01,0.02,0.01,1688734638.1743944
2.69,-0.25,-0.69,-0.01,0.04,0.02,1688734638.2544498
2.58,-0.25,-0.55,-0.01,0.04,0.01,1688734638.3344526
1.96,-0.51,-0.3,-0.01,0.03,0.01,1688734638.4146538
1.31,-0.53,-0.15,-0.01,0.01,0.0,1688734638.5103521
-0.39,-0.2,0.09,-0.02,-0.02,0.0,1688734638.5904307
-1.68,0.03,0.22,-0.02,-0.04,0.0,1688734638.6701388
-1.62,-0.3,0.07,-0.01,-0.04,-0.0,1688734638.7504125
-1.72,-0.42,0.07,-0.02,-0.04,-0.0,1688734638.830415
-2.12,-0.45,-0.07,-0.01,-0.05,0.0,1688734638.9101791
-2.46,-0.31,-0.15,-0.01,-0.06,-0.0,1688734638.9901881
-2.26,-0.4,-0.24,0.0,-0.05,-0.0,1688734639.0702605
0.3,-0.31,-0.82,0.01,-0.03,0.01,1688734639.1505234
2.47,-0.75,-1.1,0.01,0.01,0.03,1688734639.2304494
3.28,-0.52,-1.14,0.0,0.03,0.04,1688734639.3101008
3.27,-0.66,-0.97,0.0,0.03,0.04,1688734639.3902261
3.4,-0.86,-1.08,0.0,0.05,0.04,1688734639.4701955
3.63,-0.84,-1.17,0.01,0.06,0.04,1688734639.550222
3.48,-0.74,-1.16,0.01,0.06,0.04,1688734639.630222
3.38,-0.67,-0.99,0.01,0.06,0.04,1688734639.7101803
3.36,-0.71,-0.98,0.01,0.07,0.03,1688734639.7904418
3.48,-0.7,-1.01,0.01,0.07,0.03,1688734639.8705394
2.94,-0.8,-0.93,0.0,0.06,0.03,1688734639.9505553
1.06,-0.64,-0.48,0.0,0.03,0.01,1688734640.026599
-0.37,-0.4,-0.38,-0.01,0.0,-0.0,1688734640.094638
-1.69,0.23,-0.17,0.01,-0.04,-0.01,1688734640.1746488
-2.02,0.13,-0.24,-0.01,-0.04,0.01,1688734640.2546463
-2.05,0.39,-0.18,-0.01,-0.04,0.01,1688734640.3343277
-1.99,0.41,-0.02,-0.02,-0.05,0.01,1688734640.414249
-1.97,0.52,0.1,-0.03,-0.06,0.01,1688734640.4942384
-0.71,0.31,-0.42,-0.01,-0.03,0.01,1688734640.5742583
2.3,-0.95,-1.19,0.01,0.02,0.02,1688734640.6542187
3.21,-0.61,-1.17,0.01,0.03,0.04,1688734640.7341912
