Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.37,-0.2,0.11,-0.01,0.01,0.01,1688553678.1616547
-0.34,-0.24,0.16,-0.01,0.01,0.01,1688553678.2411854
-0.25,-0.17,0.14,-0.01,0.01,0.01,1688553678.321403
-0.28,-0.2,0.18,-0.01,0.01,0.0,1688553678.401769
-0.19,-0.28,0.17,-0.01,0.01,0.01,1688553678.4816532
-0.23,-0.3,0.16,-0.02,0.01,0.01,1688553678.5615973
-0.31,-0.32,0.25,-0.01,0.01,0.01,1688553678.6417308
-0.24,-0.21,0.22,-0.01,0.01,0.01,1688553678.7216167
-0.28,-0.26,0.19,-0.01,0.01,0.01,1688553678.8015747
-0.22,-0.17,0.15,-0.01,0.01,0.01,1688553678.8814445
-0.13,-0.27,0.03,-0.01,0.01,0.01,1688553678.957538
-0.17,-0.16,-0.01,-0.01,0.01,0.01,1688553679.0456524
-0.06,-0.26,-0.12,-0.01,0.01,0.01,1688553679.1415768
0.06,-0.23,-0.37,-0.01,0.02,0.01,1688553679.2376196
0.54,-0.18,-0.72,-0.01,0.02,0.01,1688553679.3336585
0.4,-0.3,-0.91,-0.01,0.03,0.01,1688553679.4256144
0.52,-0.22,-1.1,-0.01,0.03,0.01,1688553679.5054176
0.59,-0.13,-1.06,-0.01,0.04,0.01,1688553679.5855439
0.71,-0.16,-1.28,-0.01,0.04,0.01,1688553679.6697059
0.8,-0.12,-1.5,-0.01,0.05,0.01,1688553679.7657616
1.09,-0.04,-1.81,-0.01,0.06,0.01,1688553679.861582
1.27,-0.02,-1.96,-0.01,0.07,0.01,1688553679.957536
1.43,0.05,-2.06,-0.01,0.07,0.01,1688553680.0536647
1.11,0.18,-1.7,-0.01,0.07,0.01,1688553680.149626
0.85,-0.07,-1.33,-0.01,0.05,0.0,1688553680.241346
0.72,-0.09,-1.39,-0.0,0.05,-0.0,1688553680.3255124
0.33,-0.57,-1.25,0.0,0.05,-0.01,1688553680.421641
0.17,-0.58,-1.44,0.01,0.05,-0.02,1688553680.4973884
0.09,-0.66,-1.45,0.01,0.04,-0.02,1688553680.5777733
-0.23,-0.79,-1.91,0.01,0.05,-0.02,1688553680.6577377
-0.99,-0.91,-2.28,0.02,0.05,-0.02,1688553680.7373953
-1.92,-0.43,-2.76,0.02,0.05,-0.01,1688553680.8176413
-1.82,0.1,-3.15,0.01,0.04,-0.0,1688553680.8974366
-1.69,0.52,-3.14,-0.0,0.03,0.0,1688553680.9772763
-1.95,0.51,-2.98,-0.01,0.02,0.01,1688553681.0573962
-1.51,0.28,-2.69,-0.01,0.01,0.0,1688553681.137441
-1.59,0.35,-2.53,-0.01,0.01,0.0,1688553681.21728
-1.28,0.62,-2.16,-0.02,0.01,0.02,1688553681.3014154
-1.2,0.67,-1.55,-0.03,0.03,0.02,1688553681.3975923
-0.62,0.54,-0.82,-0.03,0.03,0.04,1688553681.4936006
-0.53,0.36,-0.69,-0.03,0.03,0.03,1688553681.589738
0.03,0.11,-0.7,-0.03,0.02,0.01,1688553681.6856031
0.42,0.12,-1.17,-0.03,0.03,0.0,1688553681.7816184
0.8,-0.35,-1.65,-0.03,0.04,-0.0,1688553681.8775926
1.02,-0.54,-2.05,-0.03,0.05,-0.01,1688553681.9735062
1.24,-0.62,-2.4,-0.03,0.06,-0.01,1688553682.0696497
1.63,-0.54,-2.82,-0.04,0.08,-0.01,1688553682.1656792
