Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.06,0.05,0.14,-0.0,-0.02,-0.01,1688484604.8260396
0.04,0.12,-0.23,-0.01,-0.0,-0.0,1688484604.92232
-1.0,0.16,-0.6,-0.01,-0.03,-0.0,1688484604.998213
-0.6,0.09,-1.05,-0.01,-0.01,-0.01,1688484605.0819197
-0.52,-0.12,-1.29,-0.01,0.01,-0.0,1688484605.1621606
-0.54,-0.27,-1.16,-0.01,0.0,-0.02,1688484605.2580907
-0.29,-0.88,-1.26,0.0,0.01,-0.02,1688484605.3381596
0.04,-0.79,-1.41,0.01,0.02,-0.02,1688484605.414093
0.06,-0.86,-1.37,0.01,0.02,-0.02,1688484605.4822354
0.04,-1.04,-1.59,0.03,0.02,-0.02,1688484605.5579374
0.03,-1.11,-1.62,0.03,0.02,-0.02,1688484605.62222
0.44,-1.01,-1.64,0.03,0.02,-0.0,1688484605.705984
0.37,-0.95,-1.61,0.03,0.02,-0.01,1688484605.7819498
0.52,-1.05,-1.66,0.03,0.01,0.01,1688484605.8622618
0.72,-0.84,-1.46,0.03,0.01,0.02,1688484605.945996
1.02,-0.66,-1.45,0.03,-0.0,0.01,1688484606.0219057
1.0,-0.52,-1.24,0.02,0.0,0.01,1688484606.0858378
1.0,-0.47,-1.21,0.02,0.01,0.01,1688484606.1540558
0.98,-0.54,-1.3,0.02,0.01,0.01,1688484606.2299476
0.95,-0.39,-1.23,0.03,0.02,0.01,1688484606.2940018
1.04,-0.24,-1.26,0.03,0.02,0.01,1688484606.3621693
0.9,-0.44,-1.14,0.02,0.02,0.01,1688484606.4459295
0.78,-0.35,-0.96,0.02,0.02,0.01,1688484606.5378368
0.82,-0.19,-0.7,0.01,0.01,0.01,1688484606.6179805
0.54,-0.18,-0.6,0.01,0.01,0.0,1688484606.6940815
0.57,0.05,-0.52,0.01,0.01,0.01,1688484606.773946
0.41,0.0,-0.39,0.0,0.01,-0.0,1688484606.8581424
0.15,-0.42,-0.54,0.01,0.01,-0.01,1688484606.9342961
-0.27,-0.13,-0.68,0.02,0.0,-0.02,1688484607.0181768
-0.31,-0.11,-0.67,0.02,-0.0,-0.03,1688484607.098162
-0.27,0.21,-0.54,0.02,-0.01,-0.03,1688484607.1780705
-0.33,0.11,-0.66,0.02,-0.01,-0.03,1688484607.2581813
-0.36,0.12,-0.6,0.02,-0.01,-0.03,1688484607.334239
-0.47,0.3,-0.52,0.02,-0.02,-0.04,1688484607.41818
-0.54,0.62,-0.72,0.02,-0.01,-0.03,1688484607.4941707
-0.75,0.68,-0.83,0.02,-0.01,-0.03,1688484607.5741467
-0.95,0.66,-0.9,0.02,-0.01,-0.03,1688484607.6419919
-0.3,0.87,-1.0,0.02,-0.01,-0.02,1688484607.72194
0.01,0.95,-0.72,0.02,-0.01,-0.01,1688484607.8020992
0.29,0.62,-0.46,0.01,-0.01,-0.01,1688484607.8775883
0.56,0.31,-0.59,0.01,-0.0,0.0,1688484607.9499152
0.97,-0.18,-1.2,0.02,0.02,0.01,1688484608.0419316
1.1,0.05,-1.16,0.02,0.02,0.02,1688484608.118128
0.45,0.44,-0.83,0.01,0.02,0.01,1688484608.2021148
0.12,0.6,-0.62,0.01,0.0,-0.0,1688484608.2860672
0.23,0.64,-0.66,0.0,-0.0,-0.01,1688484608.373905
0.12,0.57,-0.62,-0.01,-0.0,-0.01,1688484608.4421456
0.11,0.56,-0.65,-0.01,-0.01,-0.01,1688484608.5181143
0.1,0.5,-0.69,-0.01,-0.01,-0.01,1688484608.5982347
0.09,0.57,-0.63,-0.01,-0.01,-0.01,1688484608.682102
-0.03,0.48,-0.55,-0.01,-0.01,-0.01,1688484608.7618947
-0.12,0.08,-0.69,-0.01,-0.02,-0.0,1688484608.846243
-0.27,0.03,-1.01,-0.01,-0.02,0.0,1688484608.9422739
0.13,-0.11,-1.35,-0.01,-0.02,0.0,1688484609.0381792
0.36,-0.57,-1.72,-0.02,-0.02,0.0,1688484609.1260076
0.5,-0.47,-1.8,-0.01,-0.02,0.0,1688484609.1939776
0.27,-0.28,-1.51,-0.01,-0.04,0.01,1688484609.2739809
0.68,-0.14,-1.36,-0.01,-0.03,-0.0,1688484609.3501441
0.69,-0.19,-1.28,-0.01,-0.02,-0.01,1688484609.4140432
0.89,-0.06,-1.19,-0.01,-0.02,-0.01,1688484609.4821737
0.74,-0.14,-1.21,-0.01,-0.02,-0.01,1688484609.5617108
