Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-1.52,-0.27,-0.57,-0.0,0.01,-0.01,1688399194.4399273
-1.47,-0.32,-0.49,-0.0,0.01,-0.01,1688399194.5200295
-1.37,-0.22,-0.59,-0.0,0.02,-0.01,1688399194.6000295
-0.82,-0.32,-0.71,0.0,0.02,-0.01,1688399194.6799734
-0.7,-0.56,-0.82,-0.0,0.03,-0.01,1688399194.760354
-0.77,-0.51,-0.97,0.01,0.02,-0.01,1688399194.8443248
-0.91,-0.77,-0.94,0.0,0.01,-0.01,1688399194.9404874
-1.02,-0.81,-0.87,0.01,0.0,-0.01,1688399195.036306
-0.74,-1.03,-0.77,0.01,-0.01,-0.01,1688399195.1283078
-0.85,-1.23,-0.76,0.02,-0.01,-0.02,1688399195.2122924
-0.74,-1.0,-0.86,0.02,-0.02,0.0,1688399195.3083098
-0.81,-0.97,-0.59,0.02,-0.03,-0.0,1688399195.4043133
-0.31,-0.92,-0.67,0.01,-0.02,0.0,1688399195.5002906
-0.24,-0.01,-0.41,0.01,-0.03,0.0,1688399195.5923972
-0.52,0.22,-0.6,0.0,-0.03,-0.02,1688399195.676304
-1.52,-0.06,-0.56,-0.01,-0.04,-0.02,1688399195.7722995
-1.52,-0.33,-1.07,0.0,-0.01,-0.02,1688399195.8680186
-1.88,-1.34,-2.05,0.02,0.01,-0.02,1688399195.960357
-1.25,-1.75,-2.41,0.04,0.03,-0.04,1688399196.044329
-1.29,-1.85,-2.48,0.04,0.03,-0.02,1688399196.1400735
-0.77,-0.9,-1.89,0.05,0.01,0.01,1688399196.2363632
-0.67,-0.58,-1.6,0.04,-0.01,0.02,1688399196.332247
-0.67,-0.16,-1.34,0.03,-0.01,0.0,1688399196.4281926
-0.38,0.03,-1.3,0.02,-0.01,0.0,1688399196.52426
-0.2,0.1,-1.11,0.01,-0.01,-0.01,1688399196.616359
-0.35,0.16,-1.07,0.01,-0.01,-0.01,1688399196.700289
-0.24,0.38,-0.96,0.01,-0.02,-0.01,1688399196.7957754
-0.4,0.37,-0.94,-0.0,-0.02,-0.01,1688399196.8923442
-0.5,0.5,-0.96,-0.01,-0.01,-0.01,1688399196.9840372
-0.39,0.47,-1.0,-0.01,-0.01,-0.0,1688399197.0680025
-0.43,0.44,-1.08,-0.01,-0.01,0.0,1688399197.1602683
-0.81,0.01,-1.2,-0.01,-0.0,0.0,1688399197.2440476
-1.37,-0.31,-1.43,0.0,0.0,-0.0,1688399197.3363118
-0.52,-1.05,-1.41,0.01,0.02,-0.01,1688399197.4203207
-0.59,-1.0,-1.37,0.02,0.01,-0.02,1688399197.5162966
-1.43,-1.2,-1.47,0.04,-0.01,-0.02,1688399197.6081815
-0.97,-1.02,-1.33,0.03,-0.0,-0.0,1688399197.6918542
-0.89,-1.03,-1.23,0.03,-0.0,0.0,1688399197.7842796
-0.32,-0.97,-1.3,0.03,0.0,0.0,1688399197.8683116
0.12,-0.64,-1.22,0.03,-0.01,0.02,1688399197.960279
0.36,-0.19,-1.17,0.03,-0.01,0.02,1688399198.044276
0.2,0.16,-1.03,0.02,-0.01,0.01,1688399198.1402817
0.11,0.39,-1.31,0.02,-0.02,0.0,1688399198.2362888
0.41,0.43,-1.42,0.02,-0.01,0.01,1688399198.3281076
0.0,0.6,-1.41,0.01,0.0,0.0,1688399198.412023
-0.11,0.64,-1.41,0.01,0.0,0.0,1688399198.4920154
-0.17,0.49,-1.28,0.0,0.0,-0.0,1688399198.5882547
-0.38,0.37,-1.28,-0.0,0.0,-0.0,1688399198.6680124
-0.24,0.46,-1.29,-0.0,-0.0,-0.0,1688399198.7482533
-0.22,0.48,-1.2,-0.01,0.01,0.0,1688399198.828331
-0.07,0.61,-1.2,-0.02,0.01,0.0,1688399198.9240673
-0.01,0.58,-1.12,-0.02,0.01,0.0,1688399199.0042558
-0.08,0.19,-1.13,-0.03,0.01,0.0,1688399199.1001987
-0.76,-0.35,-0.93,-0.02,-0.01,0.0,1688399199.1923091
-1.0,-0.81,-1.19,-0.01,0.0,-0.01,1688399199.2762458
-0.98,-1.14,-1.56,-0.0,0.02,-0.01,1688399199.3719816
-0.76,-1.25,-1.75,0.0,0.02,-0.02,1688399199.4482312
-0.9,-1.4,-1.91,0.01,0.02,-0.02,1688399199.532074
-0.64,-1.5,-1.97,0.01,0.02,-0.02,1688399199.6117473
-0.49,-1.29,-1.83,0.02,0.02,-0.02,1688399199.7083094
-0.65,-1.45,-1.71,0.02,0.01,-0.01,1688399199.8042414
-0.5,-1.35,-1.56,0.03,0.01,-0.0,1688399199.8842926
-0.71,-1.33,-1.49,0.02,0.0,-0.01,1688399199.9639392
-0.35,-1.43,-1.63,0.03,0.01,-0.01,1688399200.044316
-0.27,-1.31,-1.51,0.03,0.0,-0.01,1688399200.120037
0.36,-0.9,-1.69,0.03,0.01,0.01,1688399200.2042181
0.5,-0.99,-1.66,0.03,0.01,0.01,1688399200.2801495
0.45,-0.76,-1.67,0.02,0.01,0.02,1688399200.360305
0.67,-0.25,-1.46,0.02,0.01,0.02,1688399200.4443042
0.43,0.29,-1.39,0.01,0.01,0.01,1688399200.5362802
0.1,0.62,-1.26,0.0,0.0,0.0,1688399200.6202717
-0.6,0.69,-1.22,0.01,-0.01,-0.0,1688399200.7163074
-0.13,0.56,-1.2,-0.01,-0.0,0.0,1688399200.8122132
-0.84,0.18,-1.26,-0.01,-0.0,-0.0,1688399200.8922172
-1.27,-0.04,-1.4,-0.0,0.0,0.0,1688399200.9762485
-1.81,-0.71,-1.68,0.01,0.0,-0.01,1688399201.0682626
-2.1,-1.35,-1.72,0.02,-0.01,-0.02,1688399201.1478972
-1.59,-1.56,-2.05,0.02,-0.01,-0.01,1688399201.2276626
-1.29,-1.9,-2.24,0.03,-0.02,-0.02,1688399201.3079877
-0.92,-1.75,-2.17,0.04,-0.02,-0.01,1688399201.3879824
-0.39,-1.65,-2.18,0.04,-0.02,-0.0,1688399201.468003
-0.22,-1.64,-2.08,0.04,-0.01,0.01,1688399201.5443413
-0.04,-1.33,-1.95,0.04,-0.01,0.0,1688399201.6281288
0.19,-1.12,-1.84,0.04,-0.0,0.01,1688399201.724255
0.36,-0.75,-1.48,0.03,-0.01,0.02,1688399201.8200681
0.49,0.13,-1.29,0.02,-0.0,0.02,1688399201.912308
0.08,0.61,-1.22,0.01,0.0,0.0,1688399201.992255
