Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.91,-0.29,-0.06,-0.01,-0.0,0.0,1688555150.989361
0.75,-0.19,-0.03,-0.01,0.0,0.0,1688555151.0733643
0.86,-0.33,-0.04,-0.01,0.0,0.0,1688555151.1493456
0.83,-0.18,-0.02,-0.01,0.0,0.0,1688555151.2332592
0.83,-0.14,-0.1,-0.01,0.0,0.0,1688555151.3132145
1.12,-0.28,-0.49,0.0,0.01,-0.0,1688555151.3892417
1.06,-0.26,-0.44,0.0,0.01,0.0,1688555151.4732666
0.79,-0.07,-0.28,-0.0,0.0,0.0,1688555151.5532954
0.85,-0.08,-0.36,-0.0,0.0,0.0,1688555151.6293275
0.61,-0.33,-0.41,-0.01,0.01,0.0,1688555151.697264
1.07,-0.28,-0.44,0.0,0.01,-0.0,1688555151.7772026
1.52,-0.1,-0.88,0.01,0.01,0.0,1688555151.8572168
1.2,0.09,-0.9,0.01,0.02,0.01,1688555151.937235
0.85,0.1,-0.94,0.0,0.02,0.01,1688555152.0172162
0.54,-0.08,-0.89,-0.0,0.01,0.01,1688555152.0971963
0.52,-0.31,-0.9,0.0,0.01,0.0,1688555152.17329
1.05,-0.6,-1.13,0.0,0.02,-0.0,1688555152.2532465
1.69,-0.2,-1.12,0.01,0.02,0.0,1688555152.3373265
1.59,-0.01,-1.19,0.01,0.03,0.01,1688555152.417279
0.96,0.12,-0.85,-0.0,0.02,0.01,1688555152.5133321
0.5,-0.13,-0.9,-0.0,0.01,0.01,1688555152.5932922
0.41,-0.42,-1.06,0.0,0.01,0.0,1688555152.6893628
0.55,-0.59,-1.4,0.01,0.01,-0.0,1688555152.76929
1.32,-0.44,-1.47,0.01,0.02,-0.01,1688555152.849321
1.6,-0.37,-1.22,0.01,0.02,0.0,1688555152.9250796
1.77,-0.23,-1.28,0.02,0.02,0.0,1688555153.0094392
1.48,0.17,-1.27,0.01,0.02,0.01,1688555153.089038
1.07,0.06,-1.12,-0.0,0.02,0.01,1688555153.1690643
0.14,-0.1,-1.13,0.0,0.02,0.01,1688555153.2493222
0.55,-0.21,-0.9,-0.0,0.01,0.0,1688555153.3292391
0.86,-0.41,-0.67,0.0,0.01,0.0,1688555153.409273
1.38,-0.26,-0.87,0.01,0.01,0.0,1688555153.489038
1.31,0.02,-0.89,0.01,0.02,0.01,1688555153.569052
0.63,-0.07,-0.74,-0.0,0.01,0.01,1688555153.649037
0.7,-0.09,-0.78,-0.01,0.01,0.01,1688555153.7250826
0.61,-0.15,-0.77,-0.01,0.01,0.01,1688555153.809258
0.6,-0.63,-0.93,-0.0,0.01,0.0,1688555153.8893075
1.26,-0.67,-1.46,0.01,0.02,-0.01,1688555153.9692764
1.74,-0.33,-1.61,0.02,0.02,-0.0,1688555154.0491774
1.66,-0.1,-1.43,0.01,0.02,0.01,1688555154.1292634
1.5,0.01,-1.3,0.01,0.02,0.01,1688555154.2094057
0.87,0.24,-1.29,0.0,0.02,0.01,1688555154.289261
0.56,-0.09,-0.88,-0.01,0.01,0.01,1688555154.381302
0.52,-0.38,-0.91,-0.0,0.01,0.0,1688555154.4816437
1.29,-0.52,-1.26,0.01,0.01,-0.0,1688555154.5776396
1.72,-0.51,-1.5,0.03,0.03,0.0,1688555154.6737382
2.07,-0.26,-1.66,0.03,0.04,0.01,1688555154.7696383
1.58,0.41,-1.2,0.02,0.02,0.01,1688555154.8616421
0.55,-0.05,-0.91,0.0,0.02,0.01,1688555154.9453695
0.41,-0.26,-1.04,0.0,0.01,0.0,1688555155.0415268
1.24,-0.41,-1.42,0.02,0.02,-0.0,1688555155.1376498
2.36,-0.35,-2.21,0.03,0.04,0.01,1688555155.2335222
2.02,0.13,-2.66,0.03,0.05,0.01,1688555155.313626
0.7,-0.14,-3.08,0.03,0.05,0.0,1688555155.4096742
-0.53,-0.78,-2.86,0.03,0.02,-0.02,1688555155.5016797
-0.33,-0.33,-2.31,0.03,0.0,-0.01,1688555155.585603
-0.17,-0.59,-1.97,0.03,0.0,-0.01,1688555155.6616096
-0.31,-0.64,-1.86,0.02,0.0,-0.01,1688555155.745604
-0.12,-0.93,-2.03,0.04,0.0,-0.01,1688555155.8253553
1.83,-0.71,-1.77,0.03,0.01,0.01,1688555155.9216099
1.81,-0.54,-1.61,0.04,0.02,0.01,1688555155.997279
2.01,-0.12,-1.52,0.03,0.01,0.02,1688555156.081598
2.0,0.12,-1.59,0.03,0.02,0.02,1688555156.1776118
1.92,0.23,-1.58,0.03,0.02,0.02,1688555156.273538
1.69,0.13,-1.2,0.01,0.02,0.01,1688555156.3695889
0.71,-0.15,-0.47,0.0,0.0,0.0,1688555156.465572
0.71,-0.18,-0.73,0.01,0.0,0.0,1688555156.5616052
1.78,-0.1,-0.94,0.01,0.01,0.0,1688555156.6533754
1.83,-0.16,-1.16,0.01,0.02,0.0,1688555156.7375124
1.65,0.0,-0.95,0.01,0.01,0.01,1688555156.8133526
1.37,-0.79,-1.61,0.03,0.02,-0.01,1688555156.8974397
1.03,-0.66,-1.58,0.05,0.03,-0.02,1688555156.9772868
0.86,-0.9,-1.72,0.05,0.02,-0.02,1688555157.0574186
0.93,-1.01,-1.85,0.06,0.02,-0.03,1688555157.1373508
1.79,-0.59,-1.78,0.05,0.04,0.01,1688555157.2173624
2.03,-0.01,-1.62,0.04,0.04,0.03,1688555157.3136625
1.63,0.53,-1.47,0.03,0.03,0.02,1688555157.4098063
0.64,0.06,-0.92,0.02,0.01,-0.01,1688555157.4895093
1.25,-0.5,-1.19,0.04,0.02,-0.01,1688555157.5695171
1.8,-0.8,-1.57,0.05,0.04,0.0,1688555157.6492257
2.1,-0.28,-1.42,0.04,0.04,0.02,1688555157.7296128
1.85,-0.05,-1.27,0.03,0.04,0.02,1688555157.8095813
1.47,0.44,-1.26,0.02,0.03,0.01,1688555157.889118
