Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.91,-0.34,0.61,0.0,-0.03,-0.01,1688392915.5843935
-0.8,-0.33,0.65,-0.0,-0.04,-0.0,1688392915.6802478
-0.85,-0.23,0.6,0.0,-0.03,0.0,1688392915.760244
-0.68,-0.21,0.49,-0.0,-0.02,-0.0,1688392915.8403773
-0.49,-0.23,0.32,-0.0,-0.02,-0.01,1688392915.9202406
-0.52,-0.16,0.24,-0.0,-0.02,-0.01,1688392916.0002067
-0.2,-0.16,0.07,-0.0,-0.02,-0.0,1688392916.0802083
-0.13,-0.28,-0.18,-0.0,-0.02,-0.01,1688392916.1600316
0.05,-0.22,-0.1,0.0,-0.01,-0.0,1688392916.2400303
0.08,-0.16,0.09,-0.0,-0.01,-0.0,1688392916.320169
0.2,-0.29,-0.04,-0.0,-0.01,-0.0,1688392916.4000003
0.34,-0.2,-0.11,-0.0,-0.01,-0.0,1688392916.4800122
0.22,-0.07,-0.22,-0.0,0.0,0.0,1688392916.5599883
0.27,0.37,-0.33,-0.01,0.0,0.0,1688392916.6402535
-0.08,0.31,-0.22,-0.01,-0.0,0.0,1688392916.7201824
-0.11,0.46,-0.27,-0.01,-0.01,0.0,1688392916.800234
-0.32,0.39,-0.3,-0.01,-0.01,0.01,1688392916.880209
-0.7,0.23,-0.31,-0.01,-0.01,0.01,1688392916.9600306
-0.68,-0.22,-0.52,-0.01,-0.01,0.0,1688392917.039969
-0.41,-0.64,-0.47,-0.0,-0.01,-0.0,1688392917.1200123
-0.16,-0.75,-0.54,-0.0,0.0,0.0,1688392917.2042282
0.04,-0.71,-0.52,-0.0,0.0,0.0,1688392917.300212
0.03,-0.73,-0.61,0.0,0.0,0.0,1688392917.3922317
0.01,-0.61,-0.52,0.0,-0.0,0.0,1688392917.4723322
0.09,-0.27,-0.45,0.0,0.0,0.0,1688392917.5562625
0.15,0.17,-0.4,-0.0,0.0,0.0,1688392917.6521952
0.14,0.54,-0.49,-0.01,0.0,0.0,1688392917.7481077
0.1,0.5,-0.46,-0.01,0.0,0.0,1688392917.8442972
0.05,0.29,-0.33,-0.01,-0.0,0.0,1688392917.9402685
