Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-0.8,-1.12,-0.28,-0.04,0.0,-0.0,1688132403.1557708
-0.41,-0.5,-0.5,-0.02,0.01,0.01,1688132403.23592
-0.52,-0.49,-0.62,-0.02,0.01,0.01,1688132403.3157868
-0.44,-0.5,-0.67,-0.02,0.01,0.01,1688132403.3998635
-0.36,-0.5,-0.62,-0.02,0.01,0.01,1688132403.4919698
-0.35,-0.52,-0.62,-0.02,0.01,0.01,1688132403.5719666
-0.46,-0.42,-0.6,-0.02,0.01,0.01,1688132403.655881
-0.39,-0.52,-0.57,-0.02,0.01,0.01,1688132403.7319007
-0.6,-0.51,-0.62,-0.02,0.01,0.01,1688132403.8119354
-0.64,-0.47,-0.77,-0.02,0.02,0.01,1688132403.8919358
0.05,-0.45,-1.09,-0.02,0.02,0.01,1688132403.9718714
0.16,-0.5,-1.39,-0.02,0.02,0.02,1688132404.0518901
0.53,-0.35,-1.68,-0.01,0.03,0.02,1688132404.1318884
-0.32,-0.66,-1.56,-0.02,0.03,0.02,1688132404.2121344
-1.42,-0.93,-1.44,-0.02,0.01,0.01,1688132404.2959058
-1.74,-0.93,-1.58,-0.01,0.01,0.0,1688132404.3717556
-0.54,-0.87,-1.21,-0.01,0.01,0.01,1688132404.4559247
0.3,-0.48,-1.15,-0.01,0.02,0.01,1688132404.5359674
0.01,-0.53,-1.03,-0.02,0.02,0.01,1688132404.611886
-0.48,-0.48,-0.81,-0.02,0.02,0.01,1688132404.6959555
-0.84,-0.65,-0.77,-0.02,0.01,0.01,1688132404.7718685
-0.79,-0.6,-0.82,-0.02,0.01,0.01,1688132404.8558426
-0.85,-0.52,-0.74,-0.02,0.01,0.01,1688132404.9359264
-0.89,-0.44,-0.97,-0.02,0.02,0.01,1688132405.0320268
0.26,-0.54,-1.18,-0.01,0.02,0.02,1688132405.1280365
0.46,-0.48,-1.28,-0.01,0.02,0.01,1688132405.224051
0.25,-0.52,-1.08,-0.02,0.02,0.02,1688132405.3161561
0.16,-0.53,-1.05,-0.02,0.02,0.01,1688132405.4000745
-0.48,-0.56,-1.06,-0.01,0.02,0.01,1688132405.492157
-1.11,-0.72,-0.91,-0.02,0.01,0.01,1688132405.576108
-1.22,-0.66,-0.94,-0.02,0.01,0.01,1688132405.6720974
-0.9,-0.61,-0.89,-0.02,0.01,0.01,1688132405.7678583
-0.02,-0.49,-0.87,-0.02,0.01,0.01,1688132405.8479488
0.13,-0.42,-0.99,-0.01,0.02,0.01,1688132405.9279194
0.07,-0.34,-0.94,-0.02,0.02,0.01,1688132406.0240088
-0.18,-0.31,-0.8,-0.02,0.02,0.02,1688132406.1198483
-0.18,-0.2,-0.81,-0.02,0.02,0.02,1688132406.2160368
-0.55,-0.27,-0.69,-0.02,0.02,0.02,1688132406.312108
-0.86,-0.69,-0.83,-0.02,0.01,0.0,1688132406.4081483
-0.89,-0.76,-0.84,-0.02,0.01,0.0,1688132406.504122
-0.75,-0.58,-0.79,-0.02,0.01,0.01,1688132406.5960617
-0.61,-0.57,-0.85,-0.01,0.01,0.01,1688132406.680025
0.06,-0.49,-1.03,-0.02,0.02,0.01,1688132406.7761247
0.16,-0.4,-1.0,-0.02,0.02,0.01,1688132406.8681855
0.25,-0.29,-1.04,-0.02,0.02,0.02,1688132406.952118
0.06,-0.18,-0.93,-0.02,0.02,0.02,1688132407.0319362
0.14,-0.18,-1.01,-0.02,0.03,0.02,1688132407.1160526
-0.23,0.03,-0.99,-0.02,0.03,0.02,1688132407.2081103
-0.44,-0.12,-0.94,-0.03,0.02,0.02,1688132407.2838316
-0.52,-0.26,-0.86,-0.03,0.02,0.02,1688132407.363929
-0.47,-0.11,-0.86,-0.03,0.03,0.02,1688132407.4481425
-0.51,-0.12,-0.82,-0.03,0.02,0.02,1688132407.543956
-0.51,-0.19,-0.87,-0.03,0.02,0.02,1688132407.6360085
-0.62,-0.22,-0.92,-0.03,0.03,0.02,1688132407.720165
-0.18,-0.72,-1.03,-0.02,0.03,-0.0,1688132407.8161418
-0.34,-0.71,-1.06,-0.02,0.03,-0.0,1688132407.9081569
-0.36,-0.66,-0.92,-0.02,0.02,0.0,1688132408.0079718
-0.41,-0.66,-0.85,-0.02,0.02,0.0,1688132408.0880089
-0.35,-0.56,-0.89,-0.02,0.01,0.01,1688132408.1679683
-0.52,-0.56,-0.89,-0.02,0.02,0.01,1688132408.2478514
-0.44,-0.24,-0.86,-0.02,0.02,0.02,1688132408.327774
