Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.04,-0.12,0.0,-0.01,-0.01,0.0,1688395225.2038777
0.04,-0.09,-0.09,-0.01,-0.0,0.0,1688395225.283723
0.1,0.06,-0.05,-0.01,-0.01,0.01,1688395225.3639488
0.03,-0.02,0.07,-0.01,-0.01,0.0,1688395225.4439502
0.01,0.1,-0.02,-0.01,-0.01,0.0,1688395225.524095
-0.01,-0.05,-0.09,-0.01,-0.0,0.0,1688395225.6039948
0.1,0.0,-0.09,-0.01,-0.0,0.0,1688395225.6843274
0.11,0.03,-0.16,-0.01,-0.0,0.0,1688395225.7642567
0.07,0.09,-0.12,-0.01,-0.01,0.0,1688395225.844324
0.04,0.03,-0.13,-0.01,-0.0,0.0,1688395225.9282742
0.09,0.02,-0.21,-0.01,-0.0,0.0,1688395226.020267
0.02,-0.01,-0.05,-0.01,-0.0,0.0,1688395226.1002824
-0.01,0.06,-0.13,-0.01,-0.0,0.0,1688395226.1801374
0.01,0.1,-0.1,-0.01,-0.01,0.01,1688395226.2603073
-0.01,0.0,-0.05,-0.01,-0.01,0.0,1688395226.340172
0.06,-0.13,-0.14,-0.01,-0.01,0.0,1688395226.4196606
0.12,-0.1,-0.07,-0.01,-0.0,0.0,1688395226.5002706
0.31,0.01,-0.12,-0.01,-0.01,0.0,1688395226.580344
0.18,0.17,-0.14,-0.01,-0.0,0.0,1688395226.6603024
0.09,0.21,-0.14,-0.01,-0.0,0.01,1688395226.7363591
0.12,0.16,-0.05,-0.01,-0.01,0.01,1688395226.8043318
-0.02,0.06,-0.03,-0.01,-0.01,0.0,1688395226.8842945
0.04,-0.01,-0.07,-0.01,-0.01,0.0,1688395226.968239
0.13,-0.12,-0.05,-0.01,-0.0,0.0,1688395227.0603096
0.12,-0.06,-0.11,-0.01,-0.0,-0.0,1688395227.1403012
0.14,-0.01,-0.06,-0.01,-0.0,0.01,1688395227.220289
0.16,0.14,-0.13,-0.01,-0.0,0.01,1688395227.300384
0.07,0.14,-0.17,-0.01,-0.0,0.01,1688395227.380142
0.06,0.11,-0.14,-0.01,-0.01,0.0,1688395227.4603276
-0.14,0.02,-0.04,-0.01,-0.01,0.0,1688395227.5401204
0.1,-0.1,0.05,-0.01,-0.01,0.01,1688395227.6196404
0.05,-0.07,0.02,-0.01,-0.01,0.0,1688395227.7003095
0.06,0.04,0.03,-0.01,-0.01,0.01,1688395227.7842982
0.04,0.03,-0.08,-0.01,-0.01,0.01,1688395227.8803558
0.06,-0.11,-0.11,-0.01,-0.0,0.0,1688395227.9723372
0.09,-0.14,-0.17,-0.01,-0.0,0.0,1688395228.0561597
0.08,-0.14,-0.17,-0.01,-0.0,0.0,1688395228.1523032
0.05,0.02,-0.21,-0.01,0.0,0.0,1688395228.248189
0.1,0.25,-0.19,-0.01,0.0,0.01,1688395228.324055
0.05,0.25,-0.24,-0.01,-0.0,0.01,1688395228.4041183
0.01,0.07,-0.11,-0.01,-0.01,0.01,1688395228.488405
-0.03,-0.16,-0.15,-0.01,-0.01,0.01,1688395228.5839489
0.13,-0.12,-0.16,-0.01,-0.01,0.0,1688395228.6639485
0.19,-0.14,-0.22,-0.01,0.0,0.0,1688395228.7400718
0.22,0.06,-0.2,-0.01,-0.0,0.0,1688395228.8199193
0.03,-0.07,-0.02,-0.01,-0.0,0.0,1688395228.900079
0.1,-0.16,0.0,-0.01,-0.01,0.0,1688395228.9800482
-0.02,-0.22,-0.23,-0.01,0.0,0.0,1688395229.0639806
0.06,-0.24,-0.2,-0.01,-0.0,0.0,1688395229.1441836
0.02,-0.02,-0.03,-0.01,-0.0,0.01,1688395229.2399952
0.07,0.03,-0.03,-0.01,-0.01,0.01,1688395229.319981
-0.02,-0.12,-0.24,-0.0,-0.0,0.0,1688395229.4160073
0.2,-0.31,-0.29,-0.01,-0.01,0.0,1688395229.4958754
0.0,-0.24,-0.3,-0.01,0.0,0.0,1688395229.57596
0.17,-0.18,-0.1,-0.01,-0.01,0.0,1688395229.6519585
-0.02,-0.18,0.03,-0.01,-0.01,0.0,1688395229.7156143
0.04,-0.15,0.05,-0.01,-0.01,0.0,1688395229.7958221
0.03,-0.04,-0.2,-0.0,-0.0,0.0,1688395229.8636332
0.06,0.18,-0.13,-0.01,-0.01,0.01,1688395229.9396594
0.01,0.11,-0.16,-0.01,-0.0,0.01,1688395230.0077045
0.04,0.1,-0.14,-0.01,-0.0,0.01,1688395230.0836484
0.06,0.14,-0.08,-0.01,-0.0,0.01,1688395230.1682327
0.11,0.0,-0.09,-0.01,-0.01,0.01,1688395230.26407
0.13,-0.04,0.01,-0.01,-0.01,0.01,1688395230.3442092
0.16,0.01,0.0,-0.01,-0.01,0.0,1688395230.4401927
0.08,-0.08,-0.11,-0.01,-0.01,0.0,1688395230.5362425
0.0,-0.05,-0.17,-0.0,-0.0,0.0,1688395230.6321125
-0.05,-0.14,-0.13,-0.0,0.0,0.0,1688395230.7122624
0.07,-0.14,-0.12,-0.01,-0.0,0.0,1688395230.79224
0.0,-0.12,-0.06,-0.01,-0.0,0.0,1688395230.871949
0.09,0.06,-0.11,-0.01,-0.01,0.0,1688395230.9523594
-0.1,0.1,-0.14,-0.01,-0.0,0.01,1688395231.0322113
-0.09,0.18,-0.23,-0.01,-0.0,0.01,1688395231.1121173
0.02,0.16,-0.25,-0.01,-0.01,0.01,1688395231.1922102
0.13,0.14,-0.25,-0.01,-0.0,0.01,1688395231.2722442
0.12,0.0,-0.22,-0.01,-0.0,0.01,1688395231.3523276
0.13,0.01,-0.23,-0.01,-0.01,0.01,1688395231.4322226
0.06,-0.07,-0.15,-0.01,-0.0,0.0,1688395231.5120354
0.15,-0.06,-0.13,-0.01,-0.01,0.01,1688395231.592234
0.17,-0.15,-0.29,-0.01,-0.0,0.0,1688395231.6882465
-0.03,-0.26,-0.04,-0.0,-0.01,0.0,1688395231.76801
0.16,-0.2,-0.03,-0.01,-0.01,0.0,1688395231.8641891
0.09,-0.06,-0.05,-0.01,-0.0,0.0,1688395231.9602585
0.1,0.1,-0.14,-0.01,-0.0,0.01,1688395232.0562563
0.0,0.2,-0.04,-0.01,-0.0,0.01,1688395232.1362655
-0.02,0.06,0.01,-0.02,-0.0,0.01,1688395232.2163107
0.03,-0.11,0.03,-0.01,-0.0,0.0,1688395232.3079174
-0.02,-0.17,-0.02,-0.01,-0.0,0.0,1688395232.3882263
0.09,-0.11,-0.01,-0.01,-0.0,0.01,1688395232.47213
0.04,-0.16,-0.08,-0.01,0.0,0.0,1688395232.552116
0.1,-0.16,-0.1,-0.01,0.0,0.0,1688395232.6483285
0.14,-0.16,-0.07,-0.01,0.0,0.0,1688395232.744047
0.04,0.11,-0.23,-0.01,0.0,0.0,1688395232.8403387
-0.07,0.16,-0.13,-0.01,-0.01,0.01,1688395232.916327
0.03,-0.08,-0.04,-0.01,-0.0,0.01,1688395233.0002546
-0.03,-0.02,-0.06,-0.01,-0.0,0.01,1688395233.0802283
0.01,-0.31,-0.11,-0.01,-0.0,0.0,1688395233.1763058
0.15,-0.22,-0.14,-0.01,-0.0,0.01,1688395233.2562885
0.09,-0.06,-0.13,-0.01,0.0,0.01,1688395233.3361967
0.03,0.17,-0.14,-0.01,-0.0,0.01,1688395233.4163597
-0.08,0.03,-0.08,-0.01,-0.0,0.01,1688395233.4963524
0.08,0.11,-0.12,-0.01,-0.01,0.01,1688395233.5763578
0.03,-0.07,0.03,-0.01,-0.0,0.01,1688395233.656043
0.0,-0.16,-0.1,-0.01,-0.01,0.0,1688395233.7521544
0.02,-0.2,-0.09,-0.01,-0.0,0.01,1688395233.8322995
0.09,-0.14,-0.08,-0.01,-0.0,0.01,1688395233.9281812
0.03,0.0,0.04,-0.01,-0.0,0.01,1688395234.0085003
0.0,-0.04,-0.06,-0.01,-0.0,0.01,1688395234.1043234
-0.11,0.01,-0.09,-0.01,-0.0,0.01,1688395234.1843328
0.0,-0.1,-0.07,-0.01,-0.01,0.01,1688395234.2806113
0.04,-0.28,-0.07,-0.01,-0.0,0.01,1688395234.3602867
0.14,-0.26,-0.23,-0.01,-0.0,0.01,1688395234.4363935
0.06,-0.31,-0.19,-0.01,0.0,0.01,1688395234.5041633
0.12,-0.17,-0.01,-0.0,-0.01,0.01,1688395234.5841823
0.12,-0.06,-0.11,-0.01,-0.0,0.01,1688395234.6640804
0.2,-0.01,-0.03,-0.01,-0.0,0.01,1688395234.7442489
0.08,0.02,-0.14,-0.01,-0.0,0.01,1688395234.8238626
0.11,0.01,-0.1,-0.01,-0.0,0.01,1688395234.9042227
-0.07,-0.17,-0.02,-0.01,-0.0,0.01,1688395235.0003395
-0.03,-0.11,-0.04,-0.01,-0.01,0.01,1688395235.0963538
-0.07,-0.18,-0.03,-0.01,-0.0,0.0,1688395235.1922174
0.05,-0.26,-0.03,-0.01,-0.0,0.01,1688395235.2882938
