Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-3.71,-1.02,-0.67,-0.03,-0.01,-0.03,1688133123.3799534
-3.45,-0.93,-0.62,-0.03,-0.0,-0.02,1688133123.4600596
-3.54,-0.97,-0.31,-0.03,-0.03,-0.02,1688133123.5360537
-3.7,-1.01,-0.36,-0.03,-0.02,-0.03,1688133123.6199968
-3.94,-0.89,-0.54,-0.03,-0.02,-0.02,1688133123.699724
-4.05,-1.06,-0.72,-0.03,-0.01,-0.03,1688133123.7800272
-4.09,-0.99,-0.77,-0.03,-0.01,-0.03,1688133123.859746
-4.17,-0.77,-0.69,-0.02,-0.01,-0.02,1688133123.9399323
-3.91,-0.79,-0.68,-0.03,-0.01,-0.02,1688133124.0200164
-3.73,-0.92,-0.89,-0.03,-0.0,-0.01,1688133124.0999722
-3.35,-1.36,-0.94,-0.03,-0.01,-0.01,1688133124.1800592
-3.12,-1.44,-0.98,-0.02,-0.01,-0.0,1688133124.2599146
-2.82,-1.84,-1.17,-0.02,-0.01,-0.0,1688133124.3396273
-2.44,-2.07,-1.22,-0.01,-0.0,-0.01,1688133124.4158173
-2.27,-1.63,-1.18,-0.01,-0.0,0.01,1688133124.4836373
-2.48,-0.85,-1.24,-0.02,0.0,0.0,1688133124.5636134
-2.33,-0.17,-1.07,-0.03,-0.0,-0.01,1688133124.6442814
-2.77,-0.57,-1.18,-0.03,0.02,-0.01,1688133124.7238922
-2.5,-0.41,-1.03,-0.03,0.03,0.02,1688133124.8001158
-3.01,-0.74,-1.06,-0.03,0.03,0.0,1688133124.8841598
-2.9,-1.68,-1.17,-0.03,0.01,-0.01,1688133124.9800942
-2.25,-2.01,-1.38,-0.01,-0.0,-0.0,1688133125.0558522
-2.4,-1.94,-1.42,-0.0,-0.01,-0.01,1688133125.1361084
-3.13,-1.96,-1.24,-0.0,0.0,-0.01,1688133125.220109
-1.88,-1.53,-1.74,-0.01,0.01,-0.0,1688133125.300106
-0.97,-1.24,-1.46,-0.02,0.02,0.0,1688133125.380293
-0.29,-0.79,-1.5,-0.02,0.03,0.02,1688133125.4559855
-0.64,-0.91,-1.38,-0.03,0.02,0.01,1688133125.524125
-0.97,-0.62,-1.42,-0.03,0.03,0.02,1688133125.6041055
-1.52,-0.45,-1.32,-0.03,0.03,0.01,1688133125.6841118
-2.02,-0.29,-1.2,-0.04,0.02,0.01,1688133125.764131
-2.01,-0.35,-1.25,-0.04,0.03,0.02,1688133125.8440511
-1.86,-0.2,-1.31,-0.04,0.03,0.02,1688133125.9241054
-1.62,-0.52,-1.13,-0.03,0.02,0.01,1688133126.0040643
-2.09,-1.21,-1.4,-0.03,0.01,0.01,1688133126.0841062
-2.45,-1.28,-1.34,-0.03,0.02,-0.0,1688133126.1639376
-2.6,-1.65,-1.39,-0.02,0.02,-0.01,1688133126.2440014
-3.2,-1.96,-1.18,-0.02,0.02,-0.03,1688133126.3237834
-2.94,-1.97,-1.01,-0.02,0.02,-0.02,1688133126.4039266
-2.83,-0.74,-0.96,-0.02,0.0,-0.0,1688133126.4839642
-2.19,-0.1,-1.21,-0.04,0.02,0.01,1688133126.5599632
-1.81,0.45,-1.24,-0.05,0.02,0.02,1688133126.6279342
-1.67,0.4,-1.2,-0.05,0.02,0.02,1688133126.7080786
-1.49,-0.03,-0.95,-0.06,0.02,0.02,1688133126.7879262
-1.15,-0.26,-0.9,-0.05,0.02,0.02,1688133126.8679225
-1.9,-1.74,-0.79,-0.04,0.0,0.0,1688133126.947738
-1.68,-2.13,-1.17,-0.03,0.0,-0.0,1688133127.027662
-2.69,-2.65,-1.04,-0.02,-0.01,-0.02,1688133127.1038983
-2.82,-2.86,-1.01,-0.02,-0.01,-0.03,1688133127.1719053
-2.71,-2.77,-0.95,-0.01,-0.01,-0.04,1688133127.2520635
-3.07,-2.69,-0.98,-0.01,-0.01,-0.04,1688133127.3320568
-2.5,-1.78,-1.32,-0.01,-0.01,-0.03,1688133127.415985
-1.14,-1.06,-1.25,-0.03,-0.01,-0.02,1688133127.5120258
-0.95,-0.66,-1.11,-0.04,0.0,-0.01,1688133127.6080809
-1.01,-0.76,-1.24,-0.04,0.01,-0.0,1688133127.7040284
-0.72,-0.67,-1.38,-0.03,0.02,0.01,1688133127.7999284
-2.02,-0.63,-0.97,-0.03,-0.0,0.0,1688133127.8920212
-1.57,-0.51,-1.12,-0.04,0.01,0.01,1688133127.971837
-1.65,-0.56,-1.04,-0.04,-0.0,0.01,1688133128.0517776
-1.92,-0.29,-1.02,-0.04,0.0,0.01,1688133128.136054
-2.29,-0.66,-1.07,-0.04,0.0,0.01,1688133128.2318845
-1.11,-0.76,-1.06,-0.04,-0.01,0.02,1688133128.311838
-0.93,-0.73,-0.9,-0.04,-0.02,0.02,1688133128.4039278
-0.81,-1.31,-1.1,-0.03,-0.01,0.02,1688133128.483961
-0.98,-1.73,-0.9,-0.03,-0.02,0.01,1688133128.5598667
-0.25,-1.63,-1.35,-0.02,0.01,0.01,1688133128.6281717
-0.26,-1.65,-1.31,-0.02,0.01,0.0,1688133128.7117264
-1.02,-1.63,-1.37,-0.01,0.01,-0.0,1688133128.8038392
-1.42,-1.48,-1.13,-0.02,0.01,-0.01,1688133128.887851
-1.35,-1.52,-1.03,-0.02,0.01,-0.0,1688133128.979889
-0.37,-1.33,-1.37,0.0,0.01,0.0,1688133129.05989
0.23,-1.17,-1.42,-0.0,0.02,0.02,1688133129.1439972
0.71,-0.97,-1.67,0.0,0.03,0.03,1688133129.2400455
0.65,0.32,-1.8,-0.01,0.05,0.04,1688133129.3360853
-0.52,0.2,-1.24,-0.03,0.03,0.02,1688133129.4320247
-1.04,-0.08,-0.97,-0.04,0.02,0.01,1688133129.528018
-1.13,-0.15,-1.05,-0.04,0.02,0.01,1688133129.6240635
0.16,-0.98,-1.46,-0.04,0.04,0.01,1688133129.7200475
0.47,-1.41,-1.46,-0.01,0.03,-0.0,1688133129.816051
-0.13,-1.83,-1.57,-0.0,0.03,-0.01,1688133129.908022
-1.73,-1.98,-1.75,-0.0,0.02,-0.02,1688133129.9920006
-2.47,-1.85,-1.97,-0.0,0.0,-0.02,1688133130.0878537
-2.73,-1.56,-1.97,0.0,-0.0,-0.02,1688133130.1839936
-2.17,-2.04,-2.04,0.01,-0.01,-0.02,1688133130.2800252
0.54,-2.4,-2.55,0.03,0.04,0.02,1688133130.3759675
1.52,-1.72,-2.96,0.03,0.06,0.05,1688133130.4721045
1.54,-1.34,-2.91,0.02,0.05,0.05,1688133130.56399
1.35,-0.73,-2.46,0.01,0.05,0.04,1688133130.6477828
0.84,-0.11,-2.52,0.01,0.05,0.04,1688133130.7440448
0.59,-0.19,-1.89,-0.01,0.05,0.03,1688133130.8240397
0.11,-0.41,-1.37,-0.02,0.04,0.02,1688133130.9199781
-1.04,-0.59,-0.84,-0.03,0.03,0.01,1688133130.9999654
-1.34,-0.72,-0.99,-0.03,0.02,0.01,1688133131.0960803
-1.35,-0.8,-1.08,-0.03,0.02,0.01,1688133131.1758986
