Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
-3.23,-0.71,-1.3,-0.02,0.02,-0.01,1688132663.88383
-3.32,-0.69,-1.3,-0.02,0.01,-0.01,1688132663.9797897
-3.25,-0.83,-1.35,-0.02,0.01,-0.01,1688132664.0600975
-3.36,-0.73,-1.34,-0.02,0.01,-0.01,1688132664.1560485
-3.39,-0.75,-1.54,-0.01,0.02,-0.01,1688132664.236025
-3.49,-0.86,-1.56,-0.02,0.02,-0.01,1688132664.3320634
-3.29,-1.0,-1.38,-0.02,0.02,-0.01,1688132664.412059
-2.67,-0.64,-1.39,-0.02,0.02,0.0,1688132664.4920309
-2.4,-0.81,-1.42,-0.02,0.01,0.0,1688132664.57204
-1.55,-0.85,-1.45,-0.02,0.01,0.01,1688132664.6478148
-1.2,-0.75,-1.62,-0.01,0.02,0.01,1688132664.7320628
-0.41,-0.63,-1.71,-0.02,0.03,0.01,1688132664.8121114
-1.1,-0.6,-1.66,-0.02,0.03,0.01,1688132664.908004
-1.4,-0.64,-1.81,-0.02,0.03,0.01,1688132664.987949
-1.32,-0.69,-1.39,-0.02,0.01,0.0,1688132665.0840914
-1.88,-0.55,-1.68,-0.02,0.01,0.0,1688132665.1640384
-2.89,-0.48,-1.73,-0.01,0.01,-0.04,1688132665.2440426
-1.45,-0.31,-1.65,-0.01,0.0,-0.01,1688132665.3240178
-0.36,-0.32,-1.56,-0.02,0.01,0.01,1688132665.3999512
-0.11,-0.86,-1.36,-0.02,0.0,0.01,1688132665.4680574
0.36,-0.77,-1.88,-0.01,0.03,0.01,1688132665.548022
0.63,-0.6,-1.99,-0.01,0.04,0.01,1688132665.644028
0.71,-0.65,-2.04,-0.01,0.04,0.01,1688132665.723929
-0.27,-0.67,-1.72,-0.02,0.03,0.01,1688132665.8039384
-1.2,-0.72,-1.3,-0.02,0.02,0.01,1688132665.884003
-1.36,-0.58,-1.37,-0.02,0.01,0.01,1688132665.9638789
-1.51,-0.47,-1.31,-0.02,0.0,0.0,1688132666.0437605
-1.41,-0.48,-1.28,-0.02,0.0,0.0,1688132666.1200294
-0.39,-0.84,-1.51,-0.01,0.02,0.01,1688132666.1879292
0.76,-0.63,-1.72,-0.02,0.03,0.02,1688132666.267917
0.93,-0.63,-1.82,-0.01,0.03,0.01,1688132666.3477185
1.01,-0.81,-1.93,-0.01,0.04,0.01,1688132666.4277112
1.05,-0.6,-1.89,-0.01,0.05,0.01,1688132666.5079615
0.12,-0.67,-1.86,-0.02,0.04,0.01,1688132666.5880287
-1.67,-0.56,-1.52,-0.02,0.01,0.0,1688132666.6677177
-1.7,-0.55,-1.55,-0.02,0.01,0.0,1688132666.747713
-1.74,-0.43,-1.48,-0.02,0.01,0.0,1688132666.8280962
-1.63,-0.56,-1.42,-0.02,0.0,-0.0,1688132666.9078166
-0.82,-0.71,-1.36,-0.02,0.01,0.01,1688132666.9880736
0.58,-0.6,-1.7,-0.01,0.03,0.02,1688132667.0680175
0.99,-0.7,-1.92,-0.01,0.03,0.02,1688132667.1478868
0.81,-0.68,-1.88,-0.01,0.04,0.01,1688132667.2280161
0.55,-0.56,-1.7,-0.02,0.04,0.01,1688132667.3079767
-0.51,-0.31,-1.06,-0.03,0.02,0.02,1688132667.387736
-0.58,-0.23,-1.11,-0.04,0.03,0.02,1688132667.4677317
-0.68,-0.58,-0.78,-0.04,0.02,0.02,1688132667.5477753
-0.47,-0.93,-1.41,-0.05,0.04,0.01,1688132667.6276941
-0.47,-1.68,-1.58,-0.03,0.04,-0.02,1688132667.7079608
-0.5,-1.57,-1.59,-0.03,0.03,-0.01,1688132667.787952
-0.35,-1.47,-1.69,-0.01,0.03,-0.01,1688132667.868079
-0.66,-1.46,-1.66,-0.0,0.02,-0.01,1688132667.9480305
-1.47,-0.88,-1.61,-0.02,0.01,-0.0,1688132668.0281987
-1.8,-0.55,-1.76,-0.02,0.01,-0.0,1688132668.1080294
-2.0,-0.3,-1.96,-0.01,-0.0,-0.01,1688132668.1880505
-2.22,-0.21,-2.17,-0.01,-0.02,-0.01,1688132668.268083
-2.97,-0.52,-2.09,-0.01,-0.03,-0.02,1688132668.3480341
-2.79,-0.41,-2.16,-0.01,-0.03,-0.02,1688132668.4240289
-0.58,-0.56,-2.44,0.0,-0.01,0.01,1688132668.491777
2.02,-0.83,-2.8,0.0,0.03,0.03,1688132668.5720623
2.11,-0.84,-3.13,0.01,0.04,0.03,1688132668.6519032
1.96,-0.87,-3.01,0.01,0.05,0.02,1688132668.7318907
1.93,-0.8,-2.97,0.0,0.06,0.02,1688132668.8119628
