Fx,Fy,Fz,Tx,Ty,Tz,Timestamp
0.01,0.33,0.67,-0.01,-0.03,-0.01,1688745281.7983544
0.0,0.29,0.72,-0.02,-0.03,-0.01,1688745281.8948474
0.0,0.33,0.73,-0.02,-0.03,-0.01,1688745281.9748223
-0.01,0.31,0.69,-0.01,-0.03,-0.02,1688745282.0706468
-0.21,0.43,0.59,-0.01,-0.03,-0.02,1688745282.1466274
-0.43,0.32,0.55,-0.01,-0.02,-0.02,1688745282.2305768
-0.35,0.02,0.21,-0.02,-0.02,-0.03,1688745282.3106494
0.01,0.13,0.22,-0.01,-0.02,-0.02,1688745282.3906395
0.17,0.18,0.33,-0.01,-0.02,-0.02,1688745282.470639
-0.26,0.07,0.3,-0.01,-0.03,-0.02,1688745282.5506382
-0.29,0.08,0.03,-0.01,-0.02,-0.01,1688745282.6266227
0.0,0.07,-0.15,-0.01,-0.01,-0.01,1688745282.706648
0.33,-0.13,-0.06,-0.01,-0.0,-0.02,1688745282.790609
0.61,0.37,0.4,-0.01,-0.03,-0.01,1688745282.866674
0.68,0.67,0.55,-0.01,-0.04,0.0,1688745282.9506793
0.11,0.42,0.62,-0.02,-0.04,0.0,1688745283.026635
-0.05,0.35,0.42,-0.01,-0.03,-0.0,1688745283.1106005
-0.19,-0.13,0.27,-0.02,-0.03,-0.01,1688745283.1866004
-0.21,-0.09,0.02,-0.01,-0.03,-0.01,1688745283.2706308
-0.27,-0.06,0.22,0.01,-0.05,-0.02,1688745283.354658
0.4,0.43,0.38,0.01,-0.05,-0.0,1688745283.4426
0.17,0.42,0.48,-0.01,-0.05,0.0,1688745283.510448
-0.11,0.25,0.35,-0.01,-0.04,-0.01,1688745283.5946007
-0.26,0.14,0.15,-0.02,-0.03,-0.01,1688745283.6865957
-0.29,-0.38,-0.06,-0.01,-0.02,-0.02,1688745283.7666023
0.24,-0.37,0.07,0.01,-0.05,-0.02,1688745283.8506036
0.16,-0.11,0.58,0.01,-0.06,-0.01,1688745283.9468467
0.15,0.2,0.79,0.01,-0.07,-0.01,1688745284.0386167
-0.24,0.15,0.29,-0.01,-0.05,-0.0,1688745284.1186228
